,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_noteUsers,GK_nbAvis,GK_noteGK,GK_licence,GK_dateTestGK,GK_distributeur,GK_developpeur,GK_frenchName
4842,4302,Harry Potter and the Deathly Hallows - Part 1,X360,2010.0,Action,Electronic Arts,0.21,0.2,0.0,0.04,0.46,7.0,3.0,3,Harry Potter ,,,EA Bright Light Studio,
4843,4303,Top Spin,XB,2003.0,Sports,Microsoft Game Studios,0.36,0.08,0.0,0.02,0.46,8.1,43.0,7.333333333333333,Top Spin,2004-11-05,,PAM,Top Spin
4844,4304,Disney Guilty Party,Wii,2010.0,Misc,Disney Interactive Studios,0.43,0.0,0.0,0.03,0.46,,,,,,,Wideload Games,
4845,4305,Warhawk,PS,1995.0,Simulation,Sony Computer Entertainment,0.25,0.17,0.0,0.03,0.46,7.3,16.0,7,Warhawk ,,,Incog Inc.,
4846,4306,Pirates of the Caribbean: At World's End,Wii,2007.0,Action,Disney Interactive Studios,0.39,0.02,0.01,0.04,0.46,5.1,11.0,4,Pirates des Caraïbes ,,,Eurocom,
4847,4307,Red Faction: Armageddon,PS3,2011.0,Shooter,THQ,0.2,0.16,0.03,0.07,0.46,6.5,32.0,6.0,Red Faction,2011-06-11,,,Red Faction : Armageddon
4848,4307,Red Faction: Armageddon,PS3,2011.0,Shooter,THQ,0.2,0.16,0.03,0.07,0.46,6.5,32.0,6.0,Red Faction,2011-06-11,,,Red Faction: Armageddon
4849,4308,DanceStar Party,PS3,2011.0,Misc,Sony Computer Entertainment,0.0,0.35,0.0,0.1,0.46,6.0,1.0,6.0,SingStar,2011-10-18,,Team Soho,DanceStar Party
4850,4309,Persona 4: Dancing All Night,PSV,2015.0,Misc,Nippon Ichi Software,0.13,0.1,0.15,0.07,0.46,7.3,30.0,7.0,Megami Tensei,2015-11-06,,Atlus,Persona 4 : Dancing All Night
4851,4309,Persona 4: Dancing All Night,PSV,2015.0,Misc,Nippon Ichi Software,0.13,0.1,0.15,0.07,0.46,7.3,30.0,7.0,Megami Tensei,2015-11-06,,Atlus,Persona 4: Dancing All Night
4852,4310,Tales of Vesperia,PS3,2009.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.45,0.0,0.45,7.7,127.0,7.0,Tales of,2009-06-26,Atari,,Tales of Vesperia
4853,4311,Thief (2014),XOne,2014.0,Action,Square Enix,0.26,0.15,0.0,0.04,0.45,5.5,50.0,5,Dark Project (Thief) ,,,Nixxes,
4854,4312,Dynasty Warriors: Strikeforce,PSP,2009.0,Action,Ubisoft Annecy,0.03,0.03,0.38,0.02,0.45,5.5,2.0,6.333333333333333,Dynasty Warriors,2010-02-22,,Omega Force,Dynasty Warriors : Strikeforce
4855,4312,Dynasty Warriors: Strikeforce,PSP,2009.0,Action,Ubisoft Annecy,0.03,0.03,0.38,0.02,0.45,5.5,2.0,6.333333333333333,Dynasty Warriors,2010-02-22,,Omega Force,Dynasty Warriors: Strikeforce
4856,4313,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005.0,Platform,THQ,0.33,0.12,0.0,0.01,0.45,,,,,,,,
4857,4314,Tales of Hearts,PSV,2013.0,Role-Playing,Namco Bandai Games,0.15,0.13,0.09,0.08,0.45,6.8,14.0,,Tales of ,,,Namco Tales Studio,
4858,4315,Missile Command,PS,1999.0,Shooter,Atari,0.25,0.17,0.0,0.03,0.45,,,,Missile Command ,,,Griptonite Games,
4859,4316,Lego Batman 3: Beyond Gotham,3DS,2014.0,Action,Warner Bros. Interactive Entertainment,0.21,0.21,0.0,0.04,0.45,7.1,10.0,,,,,"""Traveller's Tales""",
4860,4317,Barbie as The Island Princess,Wii,2007.0,Adventure,Activision,0.42,0.0,0.0,0.03,0.45,,,,Barbie ,,Digital Bros.,,Barbie Princesse de l'île merveilleuse
4861,4318,Jikkyou Powerful Pro Yakyuu 3,SNES,1996.0,Sports,Konami Digital Entertainment,0.0,0.0,0.45,0.0,0.45,,,,,,,Konami,
4862,4319,The Walking Dead: Season One,PS4,2014.0,Adventure,Telltale Games,0.12,0.25,0.01,0.08,0.45,8.2,428.0,9,The Walking Dead ,,,Telltale Games,
4863,4320,Jikkyou Powerful Pro Yakyuu 12,PS2,2005.0,Sports,Konami Digital Entertainment,0.0,0.0,0.45,0.0,0.45,,,,,,,Konami,
4864,4321,Enter the Matrix,GC,2003.0,Action,Atari,0.34,0.09,0.02,0.01,0.45,,,,The Matrix ,,,Shiny Entertainment,Enter the Matrix
4865,4322,Crash: Mind Over Mutant,Wii,2008.0,Platform,Vivendi Games,0.36,0.06,0.0,0.03,0.45,6.0,4.0,5,Crash Bandicoot ,,Vivendi Games,Radical Entertainment,
4866,4323,NASCAR 2005: Chase for the Cup,XB,2004.0,Racing,Electronic Arts,0.34,0.1,0.0,0.02,0.45,,,,Nascar (EA Sports) ,,,,Nascar 2005 : Chase for the Cup
4867,4324,J-League Excite Stage '95,SNES,1995.0,Sports,Epoch,0.0,0.0,0.45,0.0,0.45,,,,,,,,
4868,4325,The New York Times Crosswords,DS,2007.0,Puzzle,Majesco Entertainment,0.42,0.0,0.0,0.03,0.45,,,,New York Times Crosswords ,,Eidos Interactive,Budcat Creations,
4869,4326,Phantasy Star Online Episode I & II,GC,2002.0,Role-Playing,Infogrames,0.23,0.06,0.16,0.01,0.45,,,,Phantasy Star ,,Atari,Sonic Team,Phantasy Star Online Episode I & II
4870,4327,Moshi Monsters: Moshlings Theme Park,DS,2012.0,Misc,Activision,0.03,0.37,0.0,0.05,0.45,,,,,,,,Moshi Monsters : Moshling Zoo
4871,4328,The Powerpuff Girls: Relish Rampage,PS2,2002.0,Action,BAM! Entertainment,0.22,0.17,0.0,0.06,0.45,,,,Super Nanas ,,Nobilis,,The PowerPuff Girls : Relish Rampage
4872,4329,Resistance: Burning Skies,PSV,2012.0,Shooter,Sony Computer Entertainment,0.21,0.16,0.02,0.07,0.45,5.9,19.0,6.0,Resistance,2012-05-30,,Nihilistic Software Inc.,Resistance : Burning Skies
4873,4329,Resistance: Burning Skies,PSV,2012.0,Shooter,Sony Computer Entertainment,0.21,0.16,0.02,0.07,0.45,5.9,19.0,6.0,Resistance,2012-05-30,,Nihilistic Software Inc.,Resistance: Burning Skies
4874,4330,NBA 2K13,Wii,2012.0,Sports,Take-Two Interactive,0.39,0.03,0.0,0.03,0.45,7.7,29.0,7.0,NBA 2K,2012-10-05,,Visual Concepts,NBA 2K13
4875,4331,Dead or Alive: Dimensions,3DS,2011.0,Fighting,Ubisoft Annecy,0.13,0.21,0.07,0.03,0.45,7.5,59.0,7,Dead or Alive ,,Nintendo,,Dead or Alive Dimensions
4876,4332,The Chronicles of Riddick: Escape from Butcher Bay,XB,,Shooter,Vivendi Games,0.32,0.11,0.0,0.02,0.45,7.8,48.0,7,Riddick ,,Vivendi Games,Starbreeze,
4877,4333,Brain Challenge,DS,2008.0,Misc,Ubisoft,0.41,0.01,0.0,0.03,0.45,5.2,5.0,4,Cérébral Challenge ,,,Gameloft,
4878,4334,NFL Head Coach,PS2,2006.0,Sports,Electronic Arts,0.38,0.01,0.0,0.06,0.45,,,,NFL Head Coach ,,,EA Sports,
4879,4335,Watch Dogs,PC,2014.0,Action,Ubisoft,0.14,0.26,0.0,0.05,0.45,6.7,279.0,7.0,,2014-05-27,,Ubisoft Montréal,Watch Dogs
4880,4336,Karaoke Revolution Presents American Idol Encore,Wii,2008.0,Misc,Konami Digital Entertainment,0.42,0.0,0.0,0.03,0.45,,,,,,,Blitz Games,
4881,4337,Major League Baseball 2K11,X360,2011.0,Sports,Take-Two Interactive,0.4,0.03,0.0,0.03,0.45,8.0,7.0,,Major League Baseball 2K ,,,Visual Concepts,
4882,4338,Enemy Territory: Quake Wars,X360,2008.0,Shooter,Activision,0.3,0.11,0.0,0.04,0.45,6.4,10.0,6.0,Quake,2007-09-28,Activision,Splash Damage,Enemy Territory : Quake Wars
4883,4338,Enemy Territory: Quake Wars,X360,2008.0,Shooter,Activision,0.3,0.11,0.0,0.04,0.45,6.4,10.0,6.0,Quake,2007-09-28,Activision,Splash Damage,Enemy Territory: Quake Wars
4884,4339,Ghostbusters,2600,1985.0,Puzzle,Activision,0.42,0.03,0.0,0.0,0.45,6.7,39.0,6,Ghostbusters ,,Atari,Terminal Reality,
4885,4340,NCAA Gamebreaker 99,PS,1998.0,Sports,989 Studios,0.25,0.17,0.0,0.03,0.45,,,,,,,989 Sports,
4886,4341,Area 51,PS2,2005.0,Shooter,Midway Games,0.22,0.17,0.0,0.06,0.45,5.0,1.0,6.0,Area 51,2005-05-27,,Midway Studios - Austin,Area 51
4887,4342,World Stadium 2,PS,1998.0,Sports,Namco Bandai Games,0.0,0.0,0.42,0.03,0.45,,,,Pro Yakyuu World Stadium ,,,Namco,
4888,4343,Sega Rally Revo,X360,2007.0,Racing,Sega,0.12,0.28,0.0,0.05,0.45,6.8,40.0,7,Sega Rally ,,Sega,Sega Racing Studio,
4889,4344,NHL 2005,PS2,2004.0,Sports,Electronic Arts,0.22,0.17,0.0,0.06,0.45,7.0,2.0,6.666666666666667,NHL EA Sports,2004-10-21,,EA Sports,NHL 2005
4890,4345,TNA iMPACT!,X360,2008.0,Fighting,Midway Games,0.26,0.15,0.0,0.04,0.45,6.8,5.0,6,,,,Midway Studios - Los Angeles,
4891,4346,Star Wars Jedi Knight: Jedi Academy,XB,2003.0,Shooter,Activision,0.34,0.1,0.0,0.02,0.45,7.2,51.0,6,,,,Raven Software,
4892,4347,Thrillville: Off the Rails,Wii,2007.0,Strategy,LucasArts,0.39,0.02,0.0,0.03,0.45,7.0,2.0,6,Thrillville ,,Activision,Frontier Developments,
4893,4348,Phoenix,2600,1981.0,Simulation,Atari,0.42,0.02,0.0,0.0,0.45,,,,,,MicroProse,Team17,
4894,4349,Spider-Man: Shattered Dimensions,PS3,2010.0,Action,Activision,0.26,0.13,0.0,0.06,0.45,7.0,31.0,6,,,,Beenox Studio,
4895,4350,F.E.A.R. 3,X360,2011.0,Shooter,Warner Bros. Interactive Entertainment,0.3,0.11,0.01,0.04,0.45,5.9,44.0,5.0,F.E.A.R.,2011-07-01,,Day 1 Studios,F.E.A.R. 3
4896,4351,My Fashion Studio,DS,2007.0,Misc,Ubisoft,0.41,0.01,0.0,0.03,0.45,,,,Charm Girls Club ,,,EA Casual Entertainment,
4897,4352,Plants vs. Zombies: Garden Warfare 2,PS4,2016.0,Shooter,Electronic Arts,0.17,0.21,0.0,0.07,0.45,7.0,4.0,7,Plantes contre Zombies ,,,PopCap,
4898,4353,Rock Band Country Track Pack,Wii,2009.0,Misc,MTV Games,0.42,0.0,0.0,0.03,0.45,,,,Rock Band ,,,Harmonix Music Systems,
4899,4354,Pro Evolution Soccer 2016,PS3,2015.0,Sports,Konami Digital Entertainment,0.08,0.18,0.15,0.05,0.45,7.0,16.0,7.0,eFootball (Pro Evolution Soccer),2015-09-14,,Konami,Pro Evolution Soccer 2016
4900,4355,Apocalypse,PS,1998.0,Action,Activision,0.25,0.17,0.0,0.03,0.45,7.8,12.0,7,Megami Tensei ,,KOCH Media France,Atlus,
4901,4356,Transformers: Revenge of the Fallen (Wii & PS2 Version),DS,2009.0,Action,Activision,0.27,0.14,0.0,0.04,0.45,4.5,2.0,5,TransFormers ,,,Beenox Studio,
4902,4357,PES 2009: Pro Evolution Soccer,Wii,2009.0,Sports,Konami Digital Entertainment,0.09,0.26,0.05,0.05,0.45,6.2,44.0,6,eFootball (Pro Evolution Soccer) ,,,,Pro Evolution Soccer 2009
4903,4358,Yu-Gi-Oh! Destiny Board Traveler,GBA,2004.0,Misc,Konami Digital Entertainment,0.32,0.12,0.0,0.01,0.45,,,,Yu Gi Oh! ,,,,Yu-Gi-Oh ! Destiny Board Traveler
4904,4359,SingStar Queen,PS3,2009.0,Misc,Sony Computer Entertainment,0.11,0.26,0.0,0.08,0.45,6.2,5.0,5.0,SingStar,2009-03-24,,Team Soho,SingStar Queen
4905,4360,God Eater 2,PSV,2013.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.45,0.0,0.45,5.8,6.0,,God Eater ,,,,God Eater 2 : Rage Burst
4906,4361,Samurai Warriors 3,Wii,2009.0,Action,Nintendo,0.1,0.02,0.32,0.01,0.45,6.5,4.0,4.0,Samurai Warriors,2010-06-07,,Omega Force,Samurai Warriors 3
4907,4362,World Soccer Winning Eleven 5 Final Evolution,PS2,2001.0,Sports,Konami Digital Entertainment,0.0,0.0,0.45,0.0,0.45,,,,eFootball (Pro Evolution Soccer) ,,,KCET,
4908,4363,One Piece: Pirate Warriors 3,PS4,2015.0,Action,Namco Bandai Games,0.08,0.22,0.1,0.05,0.45,5.9,18.0,,,,,Omega Force,
4909,4364,Sphinx and the Cursed Mummy,PS2,2003.0,Action,THQ,0.22,0.17,0.0,0.06,0.45,6.6,8.0,5,,,,Eurocom,
4910,4365,Fatal Fury 2,SNES,1993.0,Fighting,Takara,0.0,0.0,0.45,0.0,0.45,7.1,17.0,,Fatal Fury ,,,Takara,
4911,4366,Rampage World Tour,N64,1998.0,Action,GT Interactive,0.36,0.08,0.0,0.01,0.45,5.7,3.0,,Rampage ,,,Saffire Corporation,
4912,4367,Pokemon Puzzle League,N64,2000.0,Puzzle,Nintendo,0.36,0.08,0.0,0.01,0.45,6.6,10.0,8,,,,Nintendo,
4913,4368,Eternal Sonata,PS3,2008.0,Role-Playing,Atari,0.19,0.13,0.07,0.06,0.45,6.8,136.0,7.0,,2007-10-24,,tri-Crescendo,Eternal Sonata
4914,4369,Dance Dance Revolution: Hottest Party 3,Wii,2009.0,Simulation,Konami Digital Entertainment,0.26,0.14,0.0,0.04,0.45,6.3,4.0,6,Dancing Stage ,,,Konami,
4915,4370,FIFA 15,3DS,2014.0,Sports,Electronic Arts,0.09,0.33,0.0,0.03,0.45,6.7,57.0,6.0,FIFA EA Sports,2014-09-25,,,FIFA 15
4916,4371,Petz: Catz 2,Wii,2007.0,Simulation,Ubisoft,0.41,0.01,0.0,0.03,0.45,,,4,Petz ,,Ubisoft,MTO,
4917,4372,Bee Movie Game,DS,2007.0,Action,Activision,0.41,0.0,0.0,0.03,0.45,5.5,2.0,5,Bee Movie ,,,,Bee Movie : Le jeu
4918,4373,Tekken Advance,GBA,2001.0,Fighting,Infogrames,0.32,0.12,0.0,0.01,0.45,6.5,4.0,7.0,Tekken,2002-04-02,,Namco,Tekken Advance
4919,4374,Shin Megami Tensei: Persona 3,PS2,2006.0,Role-Playing,Tecmo Koei,0.22,0.03,0.0,0.2,0.45,8.2,85.0,7,,,Koei,Atlus,
4920,4375,Persona,PS,1995.0,Role-Playing,Atlus,0.0,0.0,0.42,0.03,0.45,,,5,,,,,
4921,4376,Band Hero,DS,2009.0,Misc,Activision,0.21,0.19,0.0,0.05,0.45,6.1,16.0,6.0,Hero,2009-11-06,,Vicarious Visions,Band Hero
4922,4377,Naruto Shippuden: Ultimate Ninja Storm Generations,X360,2012.0,Fighting,Namco Bandai Games,0.26,0.14,0.01,0.04,0.45,6.8,26.0,6,Naruto ,,Namco Bandai Partners,CyberConnect2,
4923,4378,Hot Wheels: Stunt Track Challenge,GBA,2004.0,Racing,THQ,0.32,0.12,0.0,0.01,0.45,,,,Hot Wheels ,,,,Hot Wheels : Stunt Track Challenge
4924,4379,Viking: Battle for Asgard,X360,2008.0,Action,Sega,0.16,0.24,0.0,0.05,0.45,6.2,44.0,6.0,,2008-03-28,,The Creative Assembly,Viking : Battle for Asgard
4925,4379,Viking: Battle for Asgard,X360,2008.0,Action,Sega,0.16,0.24,0.0,0.05,0.45,6.2,44.0,6.0,,2008-03-28,,The Creative Assembly,Viking: Battle for Asgard
4926,4380,Maze Craze: A Game of Cops 'n Robbers,2600,,Action,Atari,0.42,0.02,0.0,0.0,0.45,3.0,1.0,,,,,,Maze Craze
4927,4381,Mobile Suit Gundam,PS,1995.0,Action,Namco Bandai Games,0.0,0.0,0.42,0.03,0.45,,,,Mobile Suit Gundam ,,,,Mobile Suit Gundam
4928,4382,Silent Hill: Homecoming,X360,2009.0,Action,Konami Digital Entertainment,0.25,0.16,0.0,0.04,0.45,6.0,44.0,5.666666666666667,Silent Hill,2009-02-27,,Double Helix,Silent Hill : Homecoming
4929,4382,Silent Hill: Homecoming,X360,2009.0,Action,Konami Digital Entertainment,0.25,0.16,0.0,0.04,0.45,6.0,44.0,5.666666666666667,Silent Hill,2009-02-27,,Double Helix,Silent Hill: Homecoming
4930,4383,SingStar Take That,PS2,2009.0,Misc,Sony Computer Entertainment,0.0,0.06,0.0,0.39,0.45,,,,SingStar ,,,Team Soho,
4931,4384,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PSP,2010.0,Shooter,Sony Computer Entertainment,0.17,0.13,0.06,0.08,0.45,7.7,3.0,5,SOCOM ,,Sony Interactive Entertainment Europe,Slant Six Games,
4932,4385,Final Fantasy Collection,PS,1999.0,Role-Playing,Square,0.0,0.0,0.42,0.03,0.45,8.7,3.0,,Final Fantasy ,,,Squaresoft,
4933,4386,Disney Sing It! High School Musical 3: Senior Year,PS2,2008.0,Misc,Disney Interactive Studios,0.09,0.02,0.0,0.34,0.45,,,4,,,,Zoë Mode,
4934,4387,NBA Live 10,X360,2009.0,Sports,Electronic Arts,0.4,0.02,0.0,0.03,0.45,7.3,3.0,6.333333333333333,NBA Live,2009-10-16,,EA Canada,NBA Live 10
4935,4388,Samurai Warriors: Xtreme Legends,PS2,2004.0,Action,Tecmo Koei,0.04,0.03,0.36,0.01,0.45,,,,Samurai Warriors ,,,Omega Force,
4936,4389,Tony Hawk's Proving Ground,PS3,2007.0,Sports,Activision,0.36,0.05,0.0,0.05,0.45,5.4,7.0,4.666666666666667,Tony Hawk,2007-12-10,Activision,Neversoft Entertainment,Tony Hawk's Proving Ground
4937,4390,NHL FaceOff,PS,1994.0,Sports,Sony Computer Entertainment,0.25,0.17,0.0,0.03,0.45,,,,NHL FaceOff ,,,Sony Interactive Entertainment America,
4938,4391,WWE WrestleMania 21,XB,2005.0,Fighting,THQ,0.34,0.1,0.0,0.02,0.45,,,,Wrestlemania ,,,Studio Gigante,
4939,4392,Brunswick Pro Bowling,X360,2010.0,Sports,505 Games,0.38,0.04,0.0,0.03,0.45,0.0,0.0,4.0,Brunswick,2007-09-25,,Point of view,Brunswick Circuit Pro Bowling
4940,4392,Brunswick Pro Bowling,X360,2010.0,Sports,505 Games,0.38,0.04,0.0,0.03,0.45,0.0,0.0,4.0,Brunswick,2007-09-25,,Point of view,Brunswick Pro Bowling
4941,4393,Worms: Open Warfare 2,PSP,2007.0,Strategy,THQ,0.04,0.26,0.0,0.14,0.45,7.0,10.0,7.0,Worms,2007-09-12,THQ,Team17,Worms : Open Warfare 2
4942,4393,Worms: Open Warfare 2,PSP,2007.0,Strategy,THQ,0.04,0.26,0.0,0.14,0.45,7.0,10.0,7.0,Worms,2007-09-12,THQ,Team17,Worms: Open Warfare 2
4943,4394,NBA Live 2005,GC,2004.0,Sports,Electronic Arts,0.35,0.09,0.0,0.01,0.45,,,,NBA Live ,,,,NBA Live 2005
4944,4395,Defender II,2600,1987.0,Shooter,Atari,0.42,0.02,0.0,0.0,0.45,4.0,2.0,,Defender ,,,HAL Laboratory,
4945,4396,WWE Day of Reckoning,GC,2004.0,Fighting,THQ,0.35,0.09,0.0,0.01,0.45,7.3,3.0,,,,,"""Yuke's Media Creation""",
4946,4397,Dragon Quest Heroes: Rocket Slime,DS,2005.0,Action,Square Enix,0.13,0.0,0.31,0.01,0.45,7.6,5.0,,,,,,Dragon Quest Heroes : Rocket Slime
4947,4398,ATV Quad Power Racing 2,XB,2003.0,Racing,Acclaim Entertainment,0.36,0.07,0.0,0.01,0.45,7.0,1.0,7.0,ATV Quad Power Racing,2003-02-27,,Climax Studios (UK),ATV Quad Power Racing 2
4948,4399,Walt Disney World Quest: Magical Racing Tour,PS,2000.0,Racing,Eidos Interactive,0.25,0.17,0.0,0.03,0.45,5.5,2.0,4.0,,2001-03-06,,Crystal Dynamics,Walt Disney World Quest : Magical Racing Tour
4949,4399,Walt Disney World Quest: Magical Racing Tour,PS,2000.0,Racing,Eidos Interactive,0.25,0.17,0.0,0.03,0.45,5.5,2.0,4.0,,2001-03-06,,Crystal Dynamics,Walt Disney World Quest: Magical Racing Tour
4950,4400,Sled Storm,PS2,2002.0,Racing,Electronic Arts,0.22,0.17,0.0,0.06,0.45,0.0,0.0,6.0,Sled Storm,2002-03-29,,Electronic Arts,Sled Storm
4951,4401,Vandal Hearts,PS,1996.0,Role-Playing,Konami Digital Entertainment,0.14,0.09,0.19,0.03,0.45,7.9,41.0,,Vandal Hearts ,,,KCET,
4952,4402,Mario Tennis Ultra Smash,WiiU,2015.0,Sports,Nintendo,0.13,0.16,0.13,0.03,0.45,5.4,11.0,5.0,Mario,2015-11-18,,Camelot,Mario Tennis Ultra Smash
4953,4403,Celebrity Sports Showdown,Wii,2008.0,Sports,Electronic Arts,0.18,0.22,0.0,0.05,0.45,0.0,0.0,3.0,,2008-11-05,,EA Canada,Celebrity Sports Showdown
4954,4404,Jawbreaker,2600,1981.0,Action,Tigervision,0.42,0.03,0.0,0.0,0.45,,,,,,,,Jawbreaker
4955,4405,Scooby-Doo! Mystery Mayhem,PS2,2004.0,Action,THQ,0.22,0.17,0.0,0.06,0.45,,,5,Scooby-Doo ,,Nintendo,Behaviour Interactive,
4956,4406,Mario Golf: Advance Tour,GBA,2004.0,Sports,Nintendo,0.32,0.12,0.0,0.01,0.45,8.3,6.0,8,,,,,Mario Golf Advance Tour
4957,4407,Crash: Mind Over Mutant,PSP,2008.0,Platform,Vivendi Games,0.11,0.22,0.0,0.12,0.45,6.0,4.0,5,Crash Bandicoot ,,Vivendi Games,Radical Entertainment,
4958,4408,Karaoke Revolution,Wii,2009.0,Misc,Konami Digital Entertainment,0.24,0.16,0.0,0.04,0.45,,,,,,,Blitz Games,
4959,4409,Discovery Kids: Kitten Corner,DS,2009.0,Simulation,505 Games,0.42,0.0,0.0,0.03,0.45,,,,,,,,
4960,4410,Just Dance 2014,XOne,2013.0,Misc,Ubisoft,0.3,0.11,0.0,0.04,0.45,6.9,14.0,7.0,Just Dance,2013-10-01,,,Just Dance 2014
4961,4411,Yu-Gi-Oh! Capsule Monster Coliseum,PS2,2004.0,Misc,Konami Digital Entertainment,0.22,0.17,0.0,0.06,0.44,,,,Yu Gi Oh! ,,,Konami,
4962,4412,Payday 2,PS3,2013.0,Shooter,505 Games,0.21,0.15,0.0,0.08,0.44,7.1,57.0,5.0,Payday : The Heist,2018-02-28,,Overkill Software,Payday 2
4963,4413,Major League Baseball 2K6,PS2,2006.0,Sports,Spike,0.37,0.01,0.0,0.06,0.44,,,,Major League Baseball 2K ,,,,Major League Baseball 2K6
4964,4414,Jampack Volume 13 (RP-M),PS2,2005.0,Misc,Sony Computer Entertainment,0.37,0.01,0.0,0.06,0.44,,,,,,,,
4965,4415,World Soccer Winning Eleven 9,XB,2005.0,Sports,Konami Digital Entertainment,0.06,0.33,0.02,0.03,0.44,,,,eFootball (Pro Evolution Soccer) ,,,Konami,
4966,4416,NBA Live 2000,N64,1999.0,Sports,Electronic Arts,0.42,0.02,0.0,0.0,0.44,7.3,4.0,7.0,NBA Live,2000-09-12,,EA Sports,NBA Live 2000
4967,4417,Teenage Mutant Ninja Turtles 2: Battle Nexus,PS2,2004.0,Action,Konami Digital Entertainment,0.22,0.17,0.0,0.06,0.44,6.0,1.0,,Les Tortues Ninja ,,,Konami Computer Entertainment Studios,
4968,4418,"SpongeBob SquarePants: Lights, Camera, Pants!",PS2,2005.0,Misc,THQ,0.37,0.01,0.0,0.06,0.44,,,,,,,,
4969,4419,Disney Infinity 3.0,X360,2015.0,Action,Disney Interactive Studios,0.19,0.21,0.0,0.04,0.44,6.5,6.0,,Disney Infinity ,,,Avalanche Software,
4970,4420,TouchMaster 3,DS,2009.0,Puzzle,Warner Bros. Interactive Entertainment,0.3,0.11,0.0,0.04,0.44,,,,Warner Bros. Interactive Entertainment,,LLC,Hijinx Studios,
4971,4421,The Thing,PS2,2002.0,Adventure,Vivendi Games,0.22,0.17,0.0,0.06,0.44,7.3,15.0,6.0,,2002-09-23,Vivendi Games,Computer ArtWorks,The Thing
4972,4422,Disney Infinity 3.0,WiiU,2015.0,Action,Disney Interactive Studios,0.2,0.21,0.0,0.04,0.44,6.5,6.0,,Disney Infinity ,,,Avalanche Software,
4973,4423,Van Helsing,PS2,2004.0,Action,Activision,0.22,0.17,0.0,0.06,0.44,5.5,2.0,3.6666666666666665,The Incredible Adventures of Van Helsing ,2004-05-24,,Neocore Games,The Incredible Adventures of Van Helsing
4974,4423,Van Helsing,PS2,2004.0,Action,Activision,0.22,0.17,0.0,0.06,0.44,5.5,2.0,3.6666666666666665,The Incredible Adventures of Van Helsing ,2004-05-24,,Neocore Games,Van Helsing
4975,4424,X-Men Legends II: Rise of Apocalypse,XB,2005.0,Role-Playing,Activision,0.3,0.12,0.0,0.02,0.44,7.0,8.0,5,,,,Raven Software,
4976,4425,Food Network: Cook or Be Cooked,Wii,2009.0,Misc,Namco Bandai Games,0.41,0.0,0.0,0.03,0.44,,,,,,,Red Fly Studio,
4977,4426,Transformers: Fall of Cybertron,X360,2012.0,Action,Activision,0.28,0.13,0.0,0.04,0.44,6.6,8.0,6,TransFormers ,,,High Moon Studios,
4978,4427,Metro: Last Light,PS3,2013.0,Action,Deep Silver,0.14,0.2,0.03,0.08,0.44,7.1,77.0,6.0,Metro 2033,2013-05-17,Koch Media,4A Games,Metro : Last Light
4979,4427,Metro: Last Light,PS3,2013.0,Action,Deep Silver,0.14,0.2,0.03,0.08,0.44,7.1,77.0,6.0,Metro 2033,2013-05-17,Koch Media,4A Games,Metro: Last Light
4980,4428,The Urbz: Sims in the City (all regions sales),DS,2004.0,Simulation,Electronic Arts,0.4,0.01,0.02,0.0,0.44,5.9,13.0,4,,,,Maxis,
4981,4429,Spawn: Armageddon,PS2,2003.0,Action,Electronic Arts,0.22,0.17,0.0,0.06,0.44,6.0,1.0,4,Spawn ,,,Namco,
4982,4430,The Godfather (US sales),XB,2006.0,Action,Electronic Arts,0.33,0.1,0.0,0.02,0.44,6.1,10.0,4,Le Parrain ,,Electronic Arts,Electronic Arts,
4983,4431,DmC: Devil May Cry,X360,2013.0,Action,Capcom,0.26,0.13,0.01,0.04,0.44,7.3,151.0,7,Devil May Cry ,,,Ninja Theory,
4984,4432,Plants vs. Zombies: Garden Warfare 2,XOne,2016.0,Shooter,Electronic Arts,0.26,0.15,0.0,0.04,0.44,7.0,4.0,7,Plantes contre Zombies ,,,PopCap,
4985,4433,World Stadium EX,PS,1996.0,Sports,Namco Bandai Games,0.0,0.0,0.41,0.03,0.44,,,,Pro Yakyuu World Stadium ,,,Namco,Pro Yakyuu World Stadium
4986,4434,Tiger Woods PGA Tour 2003,XB,2002.0,Sports,Electronic Arts,0.35,0.08,0.0,0.01,0.44,7.7,3.0,8.0,Tiger Woods,2002-12-26,,EA Salt Lake (Headgate Studios),Tiger Woods PGA Tour 2003
4987,4435,Battlefield 2: Modern Combat,PS2,2005.0,Shooter,Electronic Arts,0.37,0.01,0.0,0.06,0.44,6.3,9.0,7.0,Battlefield,2005-11-23,,DICE,Battlefield 2 : Modern Combat
4988,4435,Battlefield 2: Modern Combat,PS2,2005.0,Shooter,Electronic Arts,0.37,0.01,0.0,0.06,0.44,6.3,9.0,7.0,Battlefield,2005-11-23,,DICE,Battlefield 2: Modern Combat
4989,4436,G-Force,Wii,2009.0,Action,Disney Interactive Studios,0.19,0.2,0.0,0.05,0.44,5.0,1.0,4,,,,Eurocom,
