,Name,Platform,Year,Genre,Publisher,DateSortie,Studio,Score,Rate,Review,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_licence,GK_distributeur,Mois
3435,Armored Core 3,PS2,2002.0,Simulation,Metro 3D,2003-05-01,From Software,5.97,8.17,4.5,0.22,0.17,0.23,0.06,0.67,Armored Core,Bigben Interactive,5.0
3436,Need For Speed: Undercover,Wii,2008.0,Racing,Electronic Arts,2008-11-01,Exient Entertainment,4.97,5.95,61.5,0.27,0.32,0.0,0.07,0.67,Need For Speed,,11.0
3437,Taiko no Tatsujin Wii,Wii,2008.0,Misc,Namco Bandai Games,0000-01-00,,,,,0.0,0.0,0.67,0.0,0.67,Taiko no Tatsujin,,1.0
3438,The Witcher 3: Wild Hunt,PC,2015.0,Role-Playing,Namco Bandai Games,2015-05-01,CD Projekt Red Studio,9.27,9.07,518.0,0.2,0.42,0.0,0.05,0.67,The Witcher,Bandai Namco Games,5.0
3440,Virtua Tennis: World Tour (US & Others sales),PSP,2005.0,Sports,Sega,0000-01-00,Sumo Digital,8.0,7.4,20.0,0.16,0.36,0.0,0.14,0.67,Virtua Tennis,,1.0
3441,The LEGO Movie Videogame,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,2014-02-01,TT Games,7.1,6.6,20.0,0.24,0.31,0.01,0.11,0.67,,,2.0
3442,Ratatouille,PSP,2007.0,Action,THQ,2007-08-01,Asobo Studio,5.75,6.35,14.0,0.22,0.28,0.0,0.16,0.67,Ratatouille,,8.0
3443,RIFT,PC,2011.0,Role-Playing,Unknown,2011-03-01,Trion Worlds,7.7,7.6,22.0,0.44,0.16,0.0,0.07,0.67,Ratchet & Clank,,3.0
3444,Wild ARMs 2,PS,1999.0,Role-Playing,Sony Computer Entertainment,0000-01-00,Contrail,,6.8,8.0,0.19,0.13,0.31,0.04,0.67,Wild Arms,,1.0
3445,Summer Sports: Paradise Island (Others sales),Wii,2008.0,Sports,Ubisoft,0000-01-00,,,,,0.0,0.66,0.0,0.01,0.67,,,1.0
3446,Castlevania: Lords of Shadow,X360,2010.0,Action,Konami Digital Entertainment,2010-10-01,Mercury Steam,8.43,7.97,308.5,0.42,0.18,0.01,0.05,0.67,Castlevania,,10.0
3448,BioShock Infinite,PC,2013.0,Shooter,Take-Two Interactive,2013-03-01,Irrational Games,8.97,8.2,714.5,0.28,0.3,0.0,0.08,0.67,BioShock,,3.0
3449,Minecraft: Story Mode,PS4,2015.0,Adventure,Mojang,2015-10-01,Telltale Games,6.5,7.15,3.5,0.23,0.33,0.0,0.11,0.67,Minecraft,,10.0
3451,TV Show King Party,Wii,2008.0,Puzzle,Ubisoft,2008-10-01,Gameloft,,5.3,,0.18,0.41,0.0,0.08,0.67,,Ubisoft,10.0
3452,Crafting Mama,DS,2010.0,Simulation,505 Games,2010-10-01,Cooking Mama Limited,,,,0.4,0.21,0.01,0.05,0.67,Mama,,10.0
3453,007: Quantum of Solace,Wii,2008.0,Action,Activision,2008-10-01,Treyarch,5.47,6.4,67.0,0.3,0.29,0.01,0.07,0.67,James Bond,,10.0
3454,Rock Band 3,Wii,2010.0,Misc,MTV Games,2010-10-01,Backbone Entertainment,8.87,7.75,34.5,0.56,0.06,0.0,0.05,0.67,Rock Band,,10.0
3455,Command & Conquer: Red Alert 3,PC,2008.0,Strategy,Electronic Arts,2008-10-01,EA LA,7.6,6.85,52.0,0.01,0.64,0.0,0.02,0.67,,,10.0
3456,The Fairly Odd Parents: Breakin Da Rules,PS2,2003.0,Platform,THQ,2003-11-01,Blitz Games,6.0,8.0,,0.33,0.25,0.0,0.09,0.67,The Fairly OddParents,,11.0
3457,WWE SmackDown vs. RAW 2007,PSP,2006.0,Fighting,THQ,2006-11-01,Yuke's,7.43,7.75,11.0,0.33,0.2,0.0,0.14,0.67,,,11.0
3458,Peppa Pig: Fun and Games,DS,2010.0,Misc,Ubisoft,0000-01-00,,,,,0.0,0.58,0.0,0.09,0.67,,,1.0
3459,Adventures of Tron,2600,1981.0,Action,Mattel Interactive,0000-01-00,,,,,0.63,0.03,0.0,0.01,0.67,Tron,,1.0
3460,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007.0,Adventure,Capcom,2008-10-01,Capcom,7.87,8.85,173.5,0.33,0.05,0.25,0.04,0.67,Ace Attorney (Phoenix Wright),,10.0
3461,NHL 13,X360,2012.0,Sports,Electronic Arts,2012-09-01,Electronic Arts,7.77,7.25,15.5,0.51,0.11,0.0,0.05,0.67,,,9.0
3462,Borderlands: The Pre-Sequel,PS3,2014.0,Shooter,Take-Two Interactive,2014-10-01,2K Marin Australia,6.75,7.32,43.0,0.25,0.26,0.05,0.11,0.67,Borderlands,,10.0
3464,The Sims 3: High-End Loft Stuff,PC,2010.0,Simulation,Electronic Arts,2010-02-01,The Sims Studio,,6.3,,0.01,0.53,0.0,0.12,0.67,,,2.0
3465,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,,Action,Disney Interactive Studios,2005-11-01,Amaze Entertainment,5.3,5.5,4.0,0.48,0.18,0.0,0.01,0.67,Le monde de Narnia,,11.0
3466,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,DS,2006.0,Misc,IE Institute,0000-01-00,,,,,0.0,0.0,0.66,0.0,0.66,,,1.0
3467,Pro Pinball: Big Race USA,PS,1999.0,Simulation,Take-Two Interactive,2000-07-01,Cunning Developments,6.9,6.0,1.0,0.37,0.25,0.0,0.04,0.66,Pro Pinball,,7.0
3468,NFL Street,XB,2004.0,Sports,Electronic Arts,2004-01-01,EA Tiburon,6.55,8.8,0.0,0.49,0.15,0.0,0.02,0.66,NFL Street,,1.0
3469,Shaun White Snowboarding,PS3,2008.0,Sports,Ubisoft,2008-11-01,Ubisoft Montreal,6.93,6.4,45.0,0.31,0.24,0.01,0.1,0.66,Shaun White,,11.0
3470,The LEGO Movie Videogame,WiiU,2014.0,Action,Warner Bros. Interactive Entertainment,2014-02-01,TT Games,6.8,6.9,20.0,0.35,0.23,0.03,0.06,0.66,,,2.0
3471,Tony Hawk's Proving Ground,PS2,2007.0,Sports,Activision,2007-11-01,Page 44 Studios,6.06,5.85,12.0,0.55,0.02,0.0,0.09,0.66,Tony Hawk,Activision,11.0
3472,MLB 2004,PS2,2003.0,Sports,Sony Computer Entertainment,2003-03-01,989 Sports,6.1,7.9,,0.32,0.25,0.0,0.08,0.66,,,3.0
3473,Naruto Shippuden: Ultimate Ninja 4,PS2,2007.0,Fighting,Atari,0000-01-00,CyberConnect2,5.0,7.4,8.0,0.26,0.01,0.13,0.26,0.66,Naruto,,1.0
3475,Tiger Woods PGA Tour 2000,PS,1998.0,Sports,Electronic Arts,0000-01-00,Electronic Arts,,,,0.37,0.25,0.0,0.04,0.66,,,1.0
3476,Darkstone,PS,2001.0,Role-Playing,Electronic Arts,2001-01-01,Delphine Software International,6.4,7.05,12.0,0.37,0.25,0.0,0.04,0.66,,,1.0
3477,NCAA March Madness 2003,PS2,2002.0,Sports,Electronic Arts,2002-11-01,NuFX,6.2,7.9,,0.32,0.25,0.0,0.08,0.66,,,11.0
3478,Finding Nemo,XB,2003.0,Action,THQ,2003-05-01,Traveller's Tales,5.15,6.45,4.0,0.48,0.16,0.0,0.02,0.66,,,5.0
3479,Thrillville,PS2,2006.0,Strategy,Atari,2006-12-01,Frontier Developments,6.3,6.05,12.0,0.55,0.02,0.0,0.09,0.66,Thrillville,Activision,12.0
3480,NHL 10,X360,2009.0,Sports,Electronic Arts,2009-09-01,EA Canada,7.93,7.75,23.0,0.51,0.1,0.0,0.06,0.66,NHL EA Sports,,9.0
3481,Jikkyou World Soccer 2000 Final Edition,PS2,2000.0,Sports,Konami Digital Entertainment,0000-01-00,,,,,0.0,0.0,0.66,0.0,0.66,,,1.0
3482,Madagascar,GC,2005.0,Platform,Activision,2005-05-01,Toys for Bob,7.0,8.2,,0.52,0.13,0.0,0.02,0.66,Madagascar,,5.0
3483,Puzzler Brain Games,Wii,2012.0,Puzzle,Namco Bandai Games,0000-01-00,,,,,0.0,0.0,0.66,0.0,0.66,Challenge Me,,1.0
3484,Dragon Quest Monsters: Caravan Heart,GBA,2003.0,Role-Playing,Enix Corporation,0000-01-00,,,,,0.0,0.0,0.64,0.02,0.66,,,1.0
3485,Strawberry Shortcake: Summertime Adventure,GBA,2004.0,Adventure,Majesco Entertainment,2004-11-01,Gorilla Systems,,,,0.47,0.18,0.0,0.01,0.66,,,11.0
3486,Rayman Legends,PS3,2013.0,Platform,Ubisoft,2013-08-01,Ubisoft Montpellier,8.7,8.67,248.5,0.14,0.38,0.0,0.14,0.66,Rayman,,8.0
3487,Rocksmith 2014,PC,2013.0,Misc,Ubisoft,0000-01-00,Ubisoft San Francisco,,,,0.35,0.24,0.0,0.07,0.66,Rocksmith,,1.0
3488,Street Fighter Anniversary Collection,PS2,2004.0,Fighting,Capcom,2004-08-01,Capcom,6.9,7.65,15.0,0.32,0.25,0.0,0.08,0.66,Street Fighter,,8.0
3489,Legend of Legaia,PS,1998.0,Role-Playing,Sony Computer Entertainment,0000-01-00,Contrail,,6.4,12.0,0.37,0.25,0.0,0.04,0.66,Legaia,Sony Interactive Entertainment Europe,1.0
3490,Napoleon: Total War,PC,2010.0,Strategy,Sega,2010-02-01,Creative Assembly,8.05,7.85,33.0,0.02,0.52,0.0,0.12,0.66,Total War,Sega,2.0
3492,Fist of the North Star: Ken's Rage,PS3,2010.0,Action,Ubisoft Annecy,2010-11-01,Koei,4.83,6.95,96.0,0.06,0.03,0.55,0.02,0.66,Dynasty Warriors,,11.0
3494,Wario: Master of Disguise,DS,2007.0,Platform,Nintendo,2007-03-01,Suzak,5.5,6.35,6.0,0.28,0.02,0.33,0.03,0.66,Wario,,3.0
3495,Toy Story 3: The Video Game,PSP,2010.0,Action,Disney Interactive Studios,0000-01-00,Avalanche Software,6.0,6.8,20.0,0.27,0.25,0.0,0.14,0.66,Toy Story,,1.0
3496,The Sims: Bustin' Out,GC,2003.0,Simulation,Electronic Arts,2003-12-01,Maxis,8.1,8.4,,0.43,0.2,0.0,0.03,0.66,,,12.0
3497,Tiger Woods PGA Tour 09,PS3,2008.0,Sports,Electronic Arts,2008-08-01,EA Tiburon,7.07,7.42,2.0,0.34,0.22,0.0,0.1,0.66,Tiger Woods,Electronic Arts,8.0
3498,Keystone Kapers,2600,1982.0,Action,Activision,0000-01-00,Activision,,,,0.62,0.04,0.0,0.01,0.66,,,1.0
3499,LEGO Marvel Super Heroes,PSV,2013.0,Action,Warner Bros. Interactive Entertainment,2013-11-01,TT Games,7.5,6.83,29.0,0.15,0.35,0.0,0.16,0.66,Marvel,,11.0
3500,New Play Control! Pikmin,Wii,2008.0,Strategy,Nintendo,2009-03-01,Nintendo,7.85,8.2,116.0,0.29,0.14,0.19,0.04,0.66,,,3.0
3501,Shrek: Hassle at the Castle,GBA,2002.0,Action,TDK Mediactive,2002-10-01,TOSE,7.1,7.4,,0.47,0.17,0.0,0.01,0.66,Shrek,,10.0
3502,Suikoden IV,PS2,2004.0,Role-Playing,Konami Digital Entertainment,2005-01-01,KCET,6.15,6.75,33.0,0.17,0.13,0.3,0.05,0.66,Suikoden,,1.0
3503,Gods Eater Burst,PSP,2010.0,Action,Namco Bandai Games,2011-03-01,Shift,6.55,7.65,14.0,0.03,0.0,0.62,0.0,0.66,God Eater,Namco Bandai Partners,3.0
3504,Disney's Kim Possible 2: Drakken's Demise,GBA,2004.0,Platform,Disney Interactive Studios,2004-09-01,Artificial Mind and Movement,7.7,8.0,,0.47,0.17,0.0,0.01,0.66,Kim Possible,,9.0
3505,Um Jammer Lammy,PS,1998.0,Misc,Sony Computer Entertainment,0000-01-00,NaNaOn-Sha,,9.3,3.0,0.12,0.08,0.41,0.04,0.66,PaRappa The Rapper,,1.0
3506,Brothers In Arms: Road to Hill 30,XB,2005.0,Shooter,Ubisoft,2005-03-01,Gearbox Software,7.9,7.45,11.0,0.49,0.14,0.0,0.02,0.66,Brothers in Arms,,3.0
3507,Madden NFL 10,PSP,2009.0,Sports,Electronic Arts,2009-09-01,EA Tiburon,7.75,7.6,4.5,0.5,0.08,0.0,0.08,0.66,Madden NFL,,9.0
3508,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PSP,2007.0,Action,Activision,0000-01-00,"""Traveller's Tales""",3.0,5.3,4.0,0.23,0.27,0.0,0.16,0.66,TransFormers,,1.0
3509,Taiko no Tatsujin DS: Touch de Dokodon!,DS,2007.0,Misc,Namco Bandai Games,0000-01-00,Bandai Namco Games,,7.5,2.0,0.0,0.0,0.66,0.0,0.66,Taiko no Tatsujin,,1.0
3510,F1 2015,PS4,2015.0,Racing,Codemasters,2015-07-01,Codemasters,6.5,6.4,36.5,0.09,0.44,0.03,0.09,0.66,F1 (Codemasters),,7.0
3511,Scene It? Box Office Smash,X360,2008.0,Misc,Microsoft Game Studios,2008-10-01,Krome Studios,6.8,7.05,22.0,0.33,0.25,0.0,0.07,0.66,Scene It ?,,10.0
3512,Animaniacs Ten Pin Alley,PS,1998.0,Sports,ASC Games,0000-01-00,Saffire Corporation,,,,0.36,0.25,0.0,0.04,0.66,,,1.0
3513,Disney Infinity 2.0: Marvel Super Heroes,WiiU,2014.0,Action,Disney Interactive Studios,0000-01-00,,,,,0.38,0.22,0.0,0.06,0.65,,,1.0
3514,NHL 13,PS3,2012.0,Sports,Electronic Arts,2012-09-01,Electronic Arts,8.2,7.43,43.0,0.33,0.22,0.0,0.1,0.65,,,9.0
3515,Kung Fu Panda,PS2,2008.0,Action,Activision,2008-06-01,Xpec,6.15,6.95,20.0,0.24,0.0,0.0,0.41,0.65,Kung Fu Panda,,6.0
3516,Tom Clancy's EndWar,PS3,2008.0,Strategy,Ubisoft,2008-11-01,Ubisoft Shanghai,6.92,7.05,33.0,0.32,0.22,0.01,0.1,0.65,Tom Clancy,,11.0
3517,The Evil Within,XOne,2014.0,Action,Bethesda Softworks,2014-10-01,Tango Gameworks,7.47,7.5,125.5,0.35,0.25,0.0,0.05,0.65,The Evil Within,,10.0
3518,Tiger Woods PGA Tour 09,X360,2008.0,Sports,Electronic Arts,2008-08-01,EA Tiburon,7.13,7.68,4.0,0.35,0.23,0.0,0.07,0.65,Tiger Woods,Electronic Arts,8.0
3519,Radiata Stories,PS2,2005.0,Role-Playing,Square Enix,2005-09-01,Tri-Ace,7.4,8.05,14.0,0.18,0.14,0.29,0.05,0.65,,,9.0
3520,F-Zero GX,GC,2003.0,Racing,Nintendo,2003-08-01,Amusement Vision,8.9,8.7,,0.41,0.11,0.12,0.02,0.65,F-Zero,,8.0
3521,Disney's Chicken Little,PS2,2005.0,Platform,Disney Interactive Studios,2005-10-01,Avalanche Software,6.0,8.5,,0.32,0.25,0.0,0.08,0.65,Chicken Little,,10.0
3522,Wall-E,PSP,2008.0,Platform,THQ,2008-07-01,Asobo Studio,5.25,5.07,4.5,0.29,0.22,0.0,0.14,0.65,Pixar,,7.0
3523,Yoshi Topsy-Turvy,GBA,2004.0,Platform,Nintendo,2005-06-01,Artoon,6.0,6.8,,0.25,0.09,0.3,0.01,0.65,,,6.0
3524,Up,DS,2009.0,Action,THQ,2009-05-01,Altron,,7.0,1.0,0.31,0.28,0.0,0.07,0.65,,The Knights of Unity,5.0
3525,Monster Jam: Maximum Destruction,PS2,2002.0,Racing,Ubisoft,2002-06-01,Ubisoft,4.7,6.2,,0.32,0.25,0.0,0.08,0.65,Monster Jam,,6.0
3526,Real Heroes: Firefighter,Wii,2009.0,Action,Rondomedia,2010-09-01,Epicenter Studios,6.35,7.78,4.0,0.56,0.04,0.0,0.05,0.65,,,9.0
3527,Cartoon Network Block Party / Cartoon Network Speedway Double Pack,GBA,2005.0,Misc,THQ,0000-01-00,One Man Band,,,,0.47,0.17,0.0,0.01,0.65,Cartoon Network,,1.0
3528,World of Dragon Warrior - Torneko: The Last Hope,PS,1999.0,Role-Playing,Enix Corporation,0000-01-00,Matrix Software,,,,0.02,0.01,0.58,0.04,0.65,,,1.0
3529,Drawn to Life: The Next Chapter,DS,2009.0,Puzzle,THQ,2009-10-01,5TH Cell,7.2,7.7,,0.45,0.14,0.0,0.06,0.65,,,10.0
3530,MLB 14: The Show,PS4,2014.0,Sports,Sony Computer Entertainment America,2014-05-01,SCEA San Diego Studios,8.3,7.3,1.0,0.58,0.0,0.0,0.07,0.65,MLB : The Show,,5.0
3531,Tiger Woods PGA Tour 10,X360,2009.0,Sports,Electronic Arts,2009-07-01,EA Tiburon,7.5,7.5,5.5,0.39,0.2,0.0,0.06,0.65,Tiger Woods,,7.0
3532,Advance Wars 2: Black Hole Rising,GBA,2003.0,Strategy,Nintendo,2003-06-01,Intelligent Systems,8.45,8.6,45.0,0.47,0.17,0.0,0.01,0.65,Advance Wars,,6.0
3534,Fire Emblem: Shadow Dragon,DS,2008.0,Role-Playing,Nintendo,2009-02-01,Intelligent Systems,7.55,7.25,41.0,0.31,0.03,0.27,0.03,0.65,Fire Emblem,,2.0
3535,Centipede,PS,1998.0,Shooter,Atari,0000-01-00,Leaping Lizard Software Inc. ,,,,0.36,0.25,0.0,0.04,0.65,Centipede,,1.0
3536,Drakengard,PS2,2003.0,Role-Playing,Square Enix,2004-03-01,Cavia Inc.,5.65,7.35,38.0,0.19,0.15,0.26,0.05,0.65,Drakengard,Gathering Of Developers,3.0
3537,SingStar Pop Hits,PS2,2007.0,Misc,Sony Computer Entertainment,0000-01-00,Team Soho,,,,0.0,0.5,0.0,0.15,0.65,SingStar,Sony Interactive Entertainment Europe,1.0
3538,Kung-Fu Master,2600,1987.0,Action,Activision,0000-01-00,Irem Software,,7.0,32.0,0.6,0.04,0.0,0.01,0.65,,,1.0
3539,Champions: Return to Arms,PS2,2005.0,Role-Playing,Sony Online Entertainment,2005-02-01,Snowblind Studios,6.85,7.05,5.0,0.32,0.25,0.0,0.08,0.65,,,2.0
3540,Harry Potter and the Goblet of Fire,PS2,2005.0,Action,Electronic Arts,2005-11-01,Electronic Arts,6.4,5.25,19.0,0.54,0.02,0.0,0.09,0.65,Harry Potter,,11.0
3541,SingStar R&B,PS2,2007.0,Misc,Sony Computer Entertainment,0000-01-00,Team Soho,6.0,7.0,1.0,0.0,0.05,0.0,0.6,0.65,SingStar,,1.0
3542,Mary-Kate and Ashley: Magical Mystery Mall,PS,2000.0,Adventure,Acclaim Entertainment,0000-01-00,n-Space,,,,0.36,0.24,0.0,0.04,0.65,Mary-Kate and Ashley,,1.0
3543,MX vs. ATV Untamed,PSP,2007.0,Racing,THQ,2007-12-01,Rainbow Studios,5.95,7.25,4.0,0.35,0.18,0.0,0.12,0.65,MX vs. ATV,,12.0
3544,Disney Sing It: Party Hits,Wii,2010.0,Misc,Disney Interactive Studios,2010-10-01,Disney Interactive Studios,6.0,7.5,1.0,0.5,0.11,0.0,0.05,0.65,Sing It,,10.0
3545,Dead or Alive 5,PS3,2012.0,Fighting,Tecmo Koei,2012-09-01,Team Ninja,7.63,7.4,90.0,0.23,0.15,0.2,0.07,0.65,Dead or Alive,,9.0
3546,Star Ocean: First Departure,PSP,2007.0,Role-Playing,Square Enix,2008-10-01,TOSE,6.97,7.63,24.0,0.2,0.14,0.22,0.09,0.65,Star Ocean,,10.0
3547,Super Robot Taisen Impact,PS2,2002.0,Strategy,Banpresto,0000-01-00,,,6.0,2.0,0.0,0.0,0.65,0.0,0.65,Super Robot Taisen,,1.0
3548,Dragon Age: Inquisition,PS3,2014.0,Role-Playing,Electronic Arts,2014-11-01,BioWare Edmonton,7.75,7.88,84.0,0.26,0.23,0.05,0.1,0.65,Dragon Age,,11.0
3550,The Black Eyed Peas Experience,Wii,2011.0,Misc,Ubisoft,2011-11-01,Ubisoft Quebec,6.5,6.25,7.0,0.39,0.2,0.0,0.06,0.65,Experience,,11.0
3551,Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,DS,2008.0,Misc,Namco Bandai Games,0000-01-00,,,,,0.0,0.0,0.65,0.0,0.65,,,1.0
3552,Sengoku Basara: Samurai Heroes,PS3,2010.0,Action,Capcom,2010-10-01,Capcom,6.53,7.78,42.5,0.17,0.04,0.4,0.03,0.65,Sengoku Basara,,10.0
3553,Crysis 3,PC,2013.0,Shooter,Electronic Arts,2013-02-01,Crytek,6.53,6.3,341.5,0.17,0.39,0.0,0.09,0.64,Crysis,,2.0
3554,Paws & Claws: Pet Vet,DS,2007.0,Simulation,THQ,2007-01-01,Independent Arts,,8.0,,0.6,0.0,0.0,0.05,0.64,Paws & Claws,,1.0
3555,Harry Potter and the Half-Blood Prince,PS2,2009.0,Action,Electronic Arts,2009-06-01,EA Bright Light,4.0,4.8,4.0,0.13,0.07,0.0,0.44,0.64,Harry Potter,,6.0
3556,Crash Bandicoot Purple: Ripto's Rampage,GBA,2004.0,Platform,Vivendi Games,2004-06-01,Vicarious Visions,6.7,6.2,,0.46,0.17,0.0,0.01,0.64,,,6.0
3557,Diablo III,XOne,2014.0,Role-Playing,Activision,0000-01-00,Blizzard Entertainment,8.0,7.5,413.0,0.35,0.24,0.0,0.05,0.64,Diablo,Vivendi Games,1.0
3558,Spyro: A Hero's Tail,PS2,2004.0,Platform,Vivendi Games,2004-11-01,Eurocom Entertainment Software,5.75,7.1,22.0,0.32,0.25,0.0,0.08,0.64,Spyro,,11.0
3559,Crash of the Titans,PSP,2007.0,Action,Vivendi Games,2007-10-01,SuperVillain Studios,6.58,7.03,20.5,0.25,0.25,0.0,0.15,0.64,Crash Bandicoot,Vivendi Games,10.0
3560,Aliens: Colonial Marines,PS3,2013.0,Shooter,Sega,2013-02-01,Gearbox Software,3.43,4.25,86.5,0.2,0.31,0.0,0.13,0.64,Alien,,2.0
3561,Crash: Twinsanity,PS2,2004.0,Platform,Vivendi Games,2004-10-01,Traveller's Tales,6.2,7.78,75.5,0.32,0.25,0.0,0.08,0.64,Crash Bandicoot,,10.0
3562,Test Drive Unlimited 2,PS3,2011.0,Racing,Atari,2011-02-01,Eden Studios,6.17,6.78,206.5,0.16,0.35,0.01,0.12,0.64,Test Drive,Namco Bandai Partners,2.0
3563,Max Payne 2: The Fall of Max Payne,XB,2003.0,Shooter,Take-Two Interactive,2003-11-01,Remedy Entertainment,7.2,8.15,128.0,0.47,0.15,0.0,0.02,0.64,Max Payne,Take Two Interactive,11.0
3564,Dragon Ball: Raging Blast 2,X360,2010.0,Fighting,Namco Bandai Games,2010-11-01,Spike,6.07,7.2,122.5,0.49,0.09,0.01,0.05,0.64,Dragon Ball,Namco Bandai Partners,11.0
3566,GoldenEye: Rogue Agent,PS2,2004.0,Shooter,Electronic Arts,2004-11-01,EA LA,4.5,5.35,13.0,0.54,0.02,0.0,0.09,0.64,,,11.0
3567,NBA 2K17,XOne,2016.0,Sports,Take-Two Interactive,2016-09-01,Visual Concepts,8.17,7.08,13.5,0.54,0.04,0.0,0.07,0.64,NBA 2K,,9.0
3568,Lost Planet: Extreme Condition,PS3,2008.0,Shooter,Capcom,2007-01-01,Capcom,6.9,7.2,73.5,0.31,0.17,0.07,0.09,0.64,Lost Planet,Digital Bros.,1.0
3569,XCOM: Enemy Unknown,X360,2012.0,Strategy,Take-Two Interactive,2012-10-01,Firaxis Games,8.5,8.23,124.5,0.36,0.23,0.0,0.05,0.64,X-Com,,10.0
3571,Rayman 3D,3DS,2011.0,Platform,Ubisoft,2011-03-01,Ubisoft Casablanca,6.05,7.0,120.0,0.23,0.35,0.0,0.06,0.64,Rayman,,3.0
3572,LEGO Marvel's Avengers,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,2016-01-01,TT Games,7.05,7.47,9.0,0.25,0.29,0.0,0.1,0.64,LEGO,,1.0
3573,James Bond 007: Everything or Nothing,XB,2004.0,Shooter,Electronic Arts,2004-02-01,EA Redwood Shores,8.3,7.5,,0.43,0.19,0.0,0.02,0.64,,,2.0
3574,X2: Wolverine's Revenge,PS2,2003.0,Platform,Activision,2003-04-01,GenePool,5.4,6.1,4.0,0.31,0.24,0.0,0.08,0.64,,Activision,4.0
3575,Stuntman: Ignition,X360,2007.0,Racing,THQ,2007-08-01,Paradigm Entertainment,7.5,7.17,34.0,0.25,0.32,0.0,0.07,0.64,Stuntman,,8.0
3577,NBA Live 06,XB,2005.0,Sports,Electronic Arts,2005-09-01,EA Canada,6.85,5.9,5.0,0.57,0.04,0.0,0.03,0.64,NBA Live,,9.0
3578,Dragon Age II,PC,2011.0,Action,Electronic Arts,2011-03-01,BioWare,6.4,5.55,304.5,0.23,0.33,0.0,0.09,0.64,Dragon Age,,3.0
3579,LEGO Star Wars II: The Original Trilogy,X360,2006.0,Action,LucasArts,2006-09-01,Traveller's Tales,7.05,7.4,28.0,0.55,0.04,0.0,0.05,0.64,,Activision,9.0
3580,Tom Clancy's Rainbow Six,N64,1999.0,Shooter,Red Storm Entertainment,0000-01-00,Ubisoft MontrǸal,5.0,7.1,51.0,0.48,0.15,0.0,0.01,0.64,,,1.0
3581,Castlevania,N64,1999.0,Platform,Konami Digital Entertainment,1998-12-01,KCEK,7.8,7.2,,0.44,0.1,0.04,0.05,0.64,Castlevania,,12.0
3582,Rayman 2: The Great Escape,N64,1999.0,Platform,Ubisoft,1999-10-01,Ubisoft Montpellier,8.17,8.2,120.0,0.4,0.22,0.0,0.02,0.64,Rayman,,10.0
3584,Nicktoons Collection: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0000-01-00,,,,,0.46,0.17,0.0,0.01,0.64,,,1.0
3585,The Lord of the Rings: Conquest,X360,2009.0,Action,Electronic Arts,2009-01-01,Pandemic Studios,5.5,7.0,,0.37,0.21,0.0,0.06,0.64,,,1.0
3586,TimeSplitters 2,XB,2002.0,Shooter,Eidos Interactive,2002-10-01,Free Radical Design,8.4,7.75,99.0,0.29,0.33,0.0,0.01,0.64,TimeSplitters,,10.0
3587,Onimusha: Dawn of Dreams,PS2,2006.0,Action,Capcom,2006-03-01,Capcom,7.55,8.2,27.0,0.15,0.12,0.34,0.04,0.64,Onimusha,Electronic Arts,3.0
3589,NieR,PS3,2010.0,Role-Playing,Square Enix,2010-04-01,Cavia Inc.,7.4,8.62,195.0,0.17,0.2,0.2,0.07,0.64,Nier,,4.0
3590,The Princess and the Frog,DS,2009.0,Platform,Disney Interactive Studios,2009-11-01,Griptonite Games,,,,0.41,0.17,0.0,0.06,0.64,,,11.0
3591,Sega Rally Revo,PS3,2007.0,Racing,Sega,2007-10-01,SEGA Racing Studio,7.25,6.95,40.0,0.07,0.43,0.0,0.14,0.64,Sega Rally,Sega,10.0
3592,SpongeBob SquarePants: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0000-01-00,,,,,0.46,0.17,0.0,0.01,0.64,,,1.0
3593,Gravity Rush,PSV,2012.0,Action,Sony Computer Entertainment,2012-06-01,,8.5,7.9,388.0,0.26,0.2,0.09,0.1,0.64,Gravity Rush,,6.0
3594,Konami Collector's Series: Arcade Advanced,GBA,2002.0,Misc,Konami Digital Entertainment,2002-03-01,KCEA,7.8,8.6,,0.46,0.17,0.0,0.01,0.64,,,3.0
3595,White Knight Chronicles II,PS3,2010.0,Role-Playing,Sony Computer Entertainment,2011-09-01,Level 5,6.0,6.8,16.0,0.23,0.09,0.27,0.05,0.64,White Knight Chronicles,,9.0
3596,Wolfenstein,PS3,2009.0,Shooter,Activision,2009-08-01,id Software,6.03,6.92,53.0,0.25,0.28,0.0,0.11,0.64,Wolfenstein,,8.0
3598,Jampack Volume 13 (RP-T),PS2,2005.0,Misc,Sony Computer Entertainment,0000-01-00,,,,,0.31,0.24,0.0,0.08,0.64,,,1.0
