,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_noteUsers,GK_nbAvis,GK_noteGK,GK_licence,GK_dateTestGK,GK_distributeur,GK_developpeur,GK_frenchName,Name_alphanum,JV_Name,JV_plateforms,JV_reviews,JV_launch_year,JV_launch_date,JV_journalist_rate,JV_players_rates,JV_Name_alphanum
693,Battlefield 4,X360,2013.0,Shooter,Electronic Arts,2.14,1.08,0.02,0.29,3.53,6.9,150.0,8.0,Battlefield,2013-11-22,,DICE,Battlefield 4,battlefield4,Battlefield 4,X360,263 avis,2013,2013-10-01,8.0,6.4,battlefield4
694,FIFA Soccer 11,X360,2010.0,Sports,Electronic Arts,0.71,2.4,0.02,0.4,3.53,7.5,108.0,8,FIFA EA Sports ,,,EA Canada,,fifasoccer11,,,,,,,,
695,Rugrats in Paris: The Movie,PS,2000.0,Action,THQ,1.96,1.33,0.0,0.23,3.52,4.3,4.0,,Razmoket ,,,THQ,,rugratsinparisthemovie,,,,,,,,
696,Spyro 2: Ripto's Rage!,PS,1999.0,Platform,Sony Computer Entertainment,2.14,1.21,0.01,0.17,3.52,7.6,28.0,,Spyro ,,,Insomniac Games,,spyro2riptosrage,,,,,,,,
697,Left 4 Dead,X360,2008.0,Shooter,Electronic Arts,2.66,0.5,0.05,0.3,3.52,7.7,162.0,8.0,Left 4 Dead,2008-11-28,,Turtle Rock Studios,Left 4 Dead,left4dead,Left 4 Dead,X360,361 avis,2008,2008-11-01,8.5,8.35,left4dead
698,Mario & Sonic at the Olympic Winter Games,DS,2009.0,Sports,Sega,1.22,1.66,0.27,0.38,3.52,5.2,6.0,5,,,,,Mario & Sonic aux Jeux Olympiques d'hiver de Sotchi 2014,mariosonicattheolympicwintergames,,,,,,,,
703,Resident Evil 5,X360,2009.0,Action,Capcom,2.11,0.94,0.12,0.34,3.51,6.7,316.0,7.0,Resident Evil,2009-03-13,,Capcom,Resident Evil 5,residentevil5,Resident Evil 5,X360,975 avis,2009,2009-03-01,8.0,7.0,residentevil5
705,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996.0,Platform,Nintendo,1.17,0.5,1.75,0.08,3.51,7.6,61.0,6,,,,Rare,,donkeykongcountry3dixiekongsdoubletrouble,Donkey Kong Country 3 : Dixie Kong's Double Trouble,SNES,69 avis,1996,1996-12-01,8.5,8.8,donkeykongcountry3dixiekongsdoubletrouble
707,Assassin's Creed: Brotherhood,X360,2010.0,Action,Ubisoft,2.84,0.39,0.03,0.24,3.5,7.6,326.0,8.0,Assassin's Creed,2010-11-18,,Ubisoft Montréal,Assassin's Creed : Brotherhood,assassinscreedbrotherhood,Assassin's Creed : Brotherhood,X360,1 450 avis,2010,2010-11-01,9.0,0.0,assassinscreedbrotherhood
709,Assassin's Creed: Brotherhood,X360,2010.0,Action,Ubisoft,2.84,0.39,0.03,0.24,3.5,7.6,326.0,8.0,Assassin's Creed,2010-11-18,,Ubisoft Montréal,Assassin's Creed: Brotherhood,assassinscreedbrotherhood,Assassin's Creed : Brotherhood,X360,1 450 avis,2010,2010-11-01,9.0,0.0,assassinscreedbrotherhood
710,Kung Fu,NES,1985.0,Action,Nintendo,1.64,0.38,1.42,0.06,3.5,,,,Simple 2000 Series ,,505 Games,Vingt-et-un Systems,,kungfu,,,,,,,,
712,Batman: Arkham Asylum,X360,2009.0,Action,Eidos Interactive,2.2,0.97,0.02,0.31,3.5,8.3,554.0,8.0,Batman,2009-09-18,,Rocksteady Studios,Batman : Arkham Asylum,batmanarkhamasylum,Batman Arkham Asylum,X360,1 012 avis,2009,2009-08-01,9.0,0.0,batmanarkhamasylum
714,Batman: Arkham Asylum,X360,2009.0,Action,Eidos Interactive,2.2,0.97,0.02,0.31,3.5,8.3,554.0,8.0,Batman,2009-09-18,,Rocksteady Studios,Batman: Arkham Asylum,batmanarkhamasylum,Batman Arkham Asylum,X360,1 012 avis,2009,2009-08-01,9.0,0.0,batmanarkhamasylum
715,Clubhouse Games,DS,2006.0,Misc,Nintendo,0.59,1.83,0.73,0.35,3.5,,,,,,,,,clubhousegames,,,,,,,,
716,FIFA Soccer 2004,PS2,,Sports,Electronic Arts,0.59,2.36,0.04,0.51,3.49,6.4,20.0,7,FIFA EA Sports ,,,EA Sports,,fifasoccer2004,,,,,,,,
717,Star Wars Battlefront (2015),XOne,2015.0,Shooter,Electronic Arts,1.94,1.22,0.02,0.31,3.49,6.7,123.0,7,,,,DICE,,starwarsbattlefront2015,,,,,,,,
720,Battlefield: Bad Company 2,X360,2010.0,Shooter,Electronic Arts,2.09,1.02,0.04,0.32,3.48,7.5,210.0,8.0,Battlefield,2010-03-03,,DICE,Battlefield : Bad Company 2,battlefieldbadcompany2,Battlefield : Bad Company 2,X360,791 avis,2010,2010-03-01,8.5,8.7,battlefieldbadcompany2
723,Battlefield: Bad Company 2,X360,2010.0,Shooter,Electronic Arts,2.09,1.02,0.04,0.32,3.48,7.5,210.0,8.0,Battlefield,2010-03-03,,DICE,Battlefield: Bad Company 2,battlefieldbadcompany2,Battlefield : Bad Company 2,X360,791 avis,2010,2010-03-01,8.5,8.7,battlefieldbadcompany2
724,Guitar Hero: On Tour,DS,2008.0,Misc,Activision,2.11,1.01,0.01,0.35,3.48,5.7,11.0,5.0,Guitar Hero,2008-07-29,Activision,Vicarious Visions,Guitar Hero : On Tour,guitarheroontour,,,,,,,,
725,Guitar Hero: On Tour,DS,2008.0,Misc,Activision,2.11,1.01,0.01,0.35,3.48,5.7,11.0,5.0,Guitar Hero,2008-07-29,Activision,Vicarious Visions,Guitar Hero: On Tour,guitarheroontour,,,,,,,,
727,Assassin's Creed: Unity,XOne,2014.0,Action,Ubisoft,2.26,0.89,0.0,0.3,3.46,6.5,240.0,7,"""Assassin's Creed """,,,Ubisoft,,assassinscreedunity,Assassin's Creed Unity,XOne,255 avis,2014,2014-11-01,8.5,7.5,assassinscreedunity
729,Far Cry 3,PS3,2012.0,Shooter,Ubisoft,0.88,1.75,0.1,0.72,3.45,7.8,322.0,8.0,Far Cry,2012-11-21,,Ubisoft,Far Cry 3,farcry3,Far Cry 3,PS3,1 301 avis,2012,2012-11-01,9.0,0.0,farcry3
730,Monster Hunter 4,3DS,2013.0,Role-Playing,Capcom,0.0,0.0,3.44,0.0,3.44,7.8,46.0,7,Monster Hunter ,,,Capcom,,monsterhunter4,,,,,,,,
732,Borderlands,X360,2009.0,Shooter,Take-Two Interactive,2.39,0.73,0.03,0.29,3.44,7.6,246.0,8.0,Borderlands,2009-10-27,,Gearbox Software,Borderlands,borderlands,Borderlands,X360,721 avis,2009,2009-10-01,8.5,5.7,borderlands
733,Tekken 4,PS2,2002.0,Fighting,Namco Bandai Games,1.55,1.27,0.33,0.29,3.44,7.3,48.0,8.0,Tekken,2002-05-17,Sony Interactive Entertainment Europe,Namco,Tekken 4,tekken4,,,,,,,,
735,Battlefield 4,PS4,2013.0,Shooter,Electronic Arts,1.34,1.54,0.17,0.38,3.43,6.9,150.0,8.0,Battlefield,2013-11-22,,DICE,Battlefield 4,battlefield4,Battlefield 4,PS4,428 avis,2013,2013-10-01,8.0,7.85,battlefield4
736,LittleBigPlanet 2,PS3,2011.0,Platform,Sony Computer Entertainment,1.82,1.07,0.06,0.47,3.42,7.5,117.0,7.0,LittleBigPlanet,2011-01-24,,Media Molecule,LittleBigPlanet 2,littlebigplanet2,,,,,,,,
737,Grand Theft Auto 2,PS,1998.0,Action,Take-Two Interactive,1.13,2.07,0.0,0.22,3.42,6.8,42.0,,Grand Theft Auto (GTA) ,,,Rockstar North,,grandtheftauto2,,,,,,,,
738,Final Fantasy III,SNES,1994.0,Role-Playing,SquareSoft,0.86,0.0,2.55,0.02,3.42,,,,Final Fantasy ,,,,Final Fantasy III,finalfantasyiii,,,,,,,,
744,Spider-Man 2,PS2,2004.0,Action,Activision,1.75,1.2,0.02,0.43,3.41,6.1,20.0,5.0,Spider-Man,2004-06-30,,Treyarch,Spider-Man 2,spiderman2,Spider-Man 2,PS2,169 avis,1992,,7.0,8.15,spiderman2
745,F-1 Race,GB,1990.0,Racing,Nintendo,1.73,0.69,0.59,0.4,3.41,6.7,3.0,6,F1 (Codemasters) ,,,Codemasters,,f1race,,,,,,,,
746,FIFA Soccer 2003,PS2,2002.0,Sports,Electronic Arts,0.46,2.28,0.05,0.61,3.4,6.3,14.0,7,FIFA EA Sports ,,,EA Sports,,fifasoccer2003,,,,,,,,
747,Crash Bash,PS,2000.0,Misc,Sony Computer Entertainment,1.56,1.47,0.19,0.17,3.39,6.6,29.0,6.0,Crash Bandicoot,2000-11-09,,Eurocom,Crash Bash,crashbash,,,,,,,,
748,LEGO Batman: The Videogame,X360,2008.0,Action,Warner Bros. Interactive Entertainment,2.03,1.03,0.0,0.32,3.38,6.7,69.0,6,,,,"""Traveller's Tales""",,legobatmanthevideogame,,,,,,,,
749,Metal Gear Solid V: The Phantom Pain,PS4,2015.0,Action,Konami Digital Entertainment,1.08,1.35,0.48,0.47,3.38,7.8,245.0,7.0,Metal Gear,2015-09-01,,Kojima Productions,Metal Gear Solid V : The Phantom Pain,metalgearsolidvthephantompain,Metal Gear Solid V : The Phantom Pain,PS4,237 avis,2015,2015-09-01,9.0,8.2,metalgearsolidvthephantompain
750,Metal Gear Solid V: The Phantom Pain,PS4,2015.0,Action,Konami Digital Entertainment,1.08,1.35,0.48,0.47,3.38,7.8,245.0,7.0,Metal Gear,2015-09-01,,Kojima Productions,Metal Gear Solid V: The Phantom Pain,metalgearsolidvthephantompain,Metal Gear Solid V : The Phantom Pain,PS4,237 avis,2015,2015-09-01,9.0,8.2,metalgearsolidvthephantompain
751,The Legend of Zelda: Spirit Tracks,DS,2009.0,Action,Nintendo,1.43,0.94,0.74,0.27,3.38,7.1,167.0,8.0,The Legend of Zelda,2009-12-09,,Nintendo,The Legend of Zelda : Spirit Tracks,thelegendofzeldaspirittracks,The Legend of Zelda : Spirit Tracks,DS,1 042 avis,2009,2009-12-01,9.0,0.0,thelegendofzeldaspirittracks
752,The Legend of Zelda: Spirit Tracks,DS,2009.0,Action,Nintendo,1.43,0.94,0.74,0.27,3.38,7.1,167.0,8.0,The Legend of Zelda,2009-12-09,,Nintendo,The Legend of Zelda: Spirit Tracks,thelegendofzeldaspirittracks,The Legend of Zelda : Spirit Tracks,DS,1 042 avis,2009,2009-12-01,9.0,0.0,thelegendofzeldaspirittracks
753,WWF War Zone,PS,1998.0,Fighting,Acclaim Entertainment,2.47,0.76,0.0,0.13,3.36,,,,WWE ,,,Probe Software,,wwfwarzone,,,,,,,,
756,The Legend of Zelda: Majora's Mask,N64,2000.0,Action,Nintendo,1.9,0.67,0.73,0.06,3.36,8.8,330.0,8.0,The Legend of Zelda,2000-12-12,,Nintendo,The Legend of Zelda : Majora's Mask,thelegendofzeldamajorasmask,The Legend of Zelda : Majora's Mask,N64,684 avis,2000,2000-11-01,9.5,9.15,thelegendofzeldamajorasmask
759,The Legend of Zelda: Majora's Mask,N64,2000.0,Action,Nintendo,1.9,0.67,0.73,0.06,3.36,8.8,330.0,8.0,The Legend of Zelda,2000-12-12,,Nintendo,The Legend of Zelda: Majora's Mask,thelegendofzeldamajorasmask,The Legend of Zelda : Majora's Mask,N64,684 avis,2000,2000-11-01,9.5,9.15,thelegendofzeldamajorasmask
760,Professor Layton and the Unwound Future,DS,2008.0,Puzzle,Nintendo,0.65,1.61,0.82,0.28,3.36,,,,,,,,,professorlaytonandtheunwoundfuture,,,,,,,,
761,Rugrats: Search For Reptar,PS,1998.0,Adventure,THQ,1.63,1.53,0.0,0.18,3.34,,,,,,,,,rugratssearchforreptar,,,,,,,,
765,Assassin's Creed IV: Black Flag,X360,2013.0,Action,Ubisoft,1.9,1.14,0.01,0.29,3.34,7.4,295.0,7.0,Assassin's Creed,2013-11-29,,Ubisoft,Assassin's Creed IV : Black Flag,assassinscreedivblackflag,Assassin's Creed IV : Black Flag,X360,388 avis,2013,2013-10-01,8.0,8.35,assassinscreedivblackflag
769,Assassin's Creed IV: Black Flag,X360,2013.0,Action,Ubisoft,1.9,1.14,0.01,0.29,3.34,7.4,295.0,7.0,Assassin's Creed,2013-11-29,,Ubisoft,Assassin's Creed IV: Black Flag,assassinscreedivblackflag,Assassin's Creed IV : Black Flag,X360,388 avis,2013,2013-10-01,8.0,8.35,assassinscreedivblackflag
770,English Training: Have Fun Improving Your Skills!,DS,2006.0,Misc,Nintendo,0.0,0.99,2.32,0.02,3.33,5.6,9.0,,,,,Plato (Japon),,englishtraininghavefunimprovingyourskills,,,,,,,,
771,James Bond 007: Nightfire,PS2,2002.0,Shooter,Electronic Arts,1.45,1.29,0.12,0.46,3.33,6.8,30.0,5,James Bond ,,,Gearbox Software,,jamesbond007nightfire,,,,,,,,
773,Ratchet & Clank,PS2,2002.0,Platform,Sony Computer Entertainment,1.44,1.01,0.57,0.3,3.33,7.7,46.0,8.0,Ratchet &amp; Clank,2002-11-11,,Insomniac Games,Ratchet & Clank,ratchetclank,Ratchet & Clank,PS2,336 avis,2002,2002-11-01,8.5,8.95,ratchetclank
774,Mario Party 9,Wii,2012.0,Misc,Nintendo,1.15,1.17,0.76,0.24,3.32,6.4,25.0,5.0,Mario Party,2012-03-01,,,Mario Party 9,marioparty9,,,,,,,,
775,Star Wars Episode III: Revenge of the Sith,PS2,2005.0,Action,LucasArts,1.47,1.39,0.03,0.43,3.32,6.1,30.0,5,LucasArts Entertainment,,,The Collective,,starwarsepisodeiiirevengeofthesith,,,,,,,,
779,Max Payne,PS2,2001.0,Shooter,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31,8.2,154.0,7.0,Max Payne,2002-03-20,,Rockstar Vancouver,Max Payne 3,maxpayne,Max Payne,PS2,124 avis,2001,2001-08-01,9.0,7.8,maxpayne
783,Max Payne,PS2,2001.0,Shooter,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31,8.2,154.0,7.0,Max Payne,2002-03-20,,Rockstar Vancouver,Max Payne,maxpayne,Max Payne,PS2,124 avis,2001,2001-08-01,9.0,7.8,maxpayne
784,The Lord of the Rings: The Return of the King,PS2,2003.0,Action,Electronic Arts,1.5,1.28,0.05,0.46,3.28,7.0,80.0,7,Le Seigneur des Anneaux ,,,Visceral Games,,thelordoftheringsthereturnoftheking,,,,,,,,
785,Assassin's Creed Syndicate,PS4,2015.0,Action,Ubisoft,0.8,1.92,0.06,0.5,3.28,6.3,72.0,5.0,Assassin's Creed,2015-10-22,,Ubisoft Québec,Assassin's Creed Syndicate,assassinscreedsyndicate,Assassin's Creed Syndicate,PS4,418 avis,2015,2015-10-01,6.5,7.75,assassinscreedsyndicate
786,Destiny,XOne,2014.0,Shooter,Activision,2.13,0.92,0.0,0.23,3.28,6.7,116.0,6.0,Destiny,2014-09-12,,Bungie,Destiny,destiny,Destiny,XOne,285 avis,2014,2014-09-01,8.0,7.5,destiny
789,True Crime: Streets of LA,PS2,2003.0,Action,Activision,1.89,1.05,0.02,0.31,3.27,6.2,30.0,5.0,True Crime,2003-11-25,,Luxoflux,True Crime : Streets of LA,truecrimestreetsofla,True Crime : Streets of LA,PS2,85 avis,2003,2003-11-01,7.5,7.4,truecrimestreetsofla
792,True Crime: Streets of LA,PS2,2003.0,Action,Activision,1.89,1.05,0.02,0.31,3.27,6.2,30.0,5.0,True Crime,2003-11-25,,Luxoflux,True Crime: Streets of LA,truecrimestreetsofla,True Crime : Streets of LA,PS2,85 avis,2003,2003-11-01,7.5,7.4,truecrimestreetsofla
793,Wii Music,Wii,2008.0,Misc,Nintendo,1.36,1.13,0.46,0.32,3.27,3.5,17.0,3.0,,2008-11-14,,Nintendo,Wii Music,wiimusic,,,,,,,,
794,Gran Turismo (PSP),PSP,2009.0,Racing,Sony Computer Entertainment,0.5,1.59,0.31,0.87,3.27,6.4,32.0,5,Gran Turismo ,,,Polyphony Digital,,granturismopsp,,,,,,,,
795,Monster Hunter X,3DS,2015.0,Action,Capcom,0.25,0.19,2.78,0.04,3.26,7.5,13.0,7,Monster Hunter ,,,Capcom,,monsterhunterx,,,,,,,,
796,Tekken,PS,1995.0,Fighting,Sony Computer Entertainment,0.95,1.3,0.77,0.22,3.24,,,,,,,,,tekken,,,,,,,,
797,FIFA 16,XOne,2015.0,Sports,Electronic Arts,0.88,2.11,0.0,0.23,3.23,7.0,57.0,8.0,FIFA EA Sports,2015-09-22,,,FIFA 16,fifa16,FIFA 16,XOne,80 avis,2015,2015-09-01,8.0,0.0,fifa16
798,L.A. Noire,PS3,2011.0,Adventure,Take-Two Interactive,1.27,1.33,0.12,0.51,3.23,7.0,240.0,6.666666666666667,L.A. Noire,2017-11-15,Take Two Interactive,Team Bondi,L.A. Noire,lanoire,,,,,,,,
799,Madden NFL 16,PS4,2015.0,Sports,Electronic Arts,2.33,0.3,0.0,0.59,3.22,7.3,3.0,,Madden NFL ,,,,Madden NFL 16,maddennfl16,Madden NFL 16,PS4,7 avis,2015,2015-08-01,8.0,8.35,maddennfl16
800,Yokai Watch 2 Ganso/Honke,3DS,2014.0,Role-Playing,Nintendo,0.03,0.0,3.18,0.0,3.22,,,,,,,,,yokaiwatch2gansohonke,,,,,,,,
801,007: Tomorrow Never Dies,PS,1999.0,Shooter,Electronic Arts,1.72,1.33,0.0,0.16,3.21,,,,,,,,,007tomorrowneverdies,,,,,,,,
802,Baseball,NES,1983.0,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2,4.3,3.0,,,,,Nintendo,,baseball,,,,,,,,
803,Killer Instinct,SNES,1995.0,Fighting,Nintendo,2.26,0.72,0.12,0.1,3.2,,,,Killer Instinct ,,,Double Helix,Killer Instinct,killerinstinct,,,,,,,,
804,WWF SmackDown! 2: Know Your Role,PS,2000.0,Fighting,THQ,1.76,1.21,0.07,0.16,3.2,6.0,1.0,6,,,,Jakks Interactive,,wwfsmackdown2knowyourrole,,,,,,,,
805,Crisis Core: Final Fantasy VII,PSP,2007.0,Role-Playing,Square Enix,1.35,0.6,0.8,0.44,3.19,7.2,173.0,7.0,Final Fantasy,2008-06-23,Ubisoft,Square Enix,Crisis Core : Final Fantasy VII,crisiscorefinalfantasyvii,,,,,,,,
806,Crisis Core: Final Fantasy VII,PSP,2007.0,Role-Playing,Square Enix,1.35,0.6,0.8,0.44,3.19,7.2,173.0,7.0,Final Fantasy,2008-06-23,Ubisoft,Square Enix,Crisis Core: Final Fantasy VII,crisiscorefinalfantasyvii,,,,,,,,
807,God of War: Chains of Olympus,PSP,2008.0,Action,Sony Computer Entertainment,1.48,1.01,0.04,0.66,3.19,7.1,107.0,7.0,God of War,2008-03-25,,Ready at Dawn Studios,God of War : Chains of Olympus,godofwarchainsofolympus,,,,,,,,
808,God of War: Chains of Olympus,PSP,2008.0,Action,Sony Computer Entertainment,1.48,1.01,0.04,0.66,3.19,7.1,107.0,7.0,God of War,2008-03-25,,Ready at Dawn Studios,God of War: Chains of Olympus,godofwarchainsofolympus,,,,,,,,
809,Dragon Quest VI: Maboroshi no Daichi,SNES,1995.0,Role-Playing,Enix Corporation,0.0,0.0,3.19,0.0,3.19,7.8,69.0,8,Dragon Quest ,,,Enix,,dragonquestvimaboroshinodaichi,,,,,,,,
810,Dance Central,X360,2010.0,Misc,MTV Games,2.15,0.77,0.01,0.26,3.19,7.2,18.0,7.0,Dance Central,2010-11-05,Xbox Game Studios,Harmonix Music Systems,Dance Central,dancecentral,,,,,,,,
811,Enter the Matrix,PS2,2003.0,Action,Atari,1.78,1.12,0.09,0.19,3.18,5.5,31.0,4.0,The Matrix,2003-05-23,,Shiny Entertainment,Enter the Matrix,enterthematrix,Enter the Matrix,PS2,83 avis,2003,2003-05-01,6.0,6.75,enterthematrix
813,Super Mario Maker,WiiU,2015.0,Platform,Nintendo,1.18,0.87,0.93,0.2,3.18,7.7,88.0,8.0,Mario,2015-09-04,,,Super Mario Maker,supermariomaker,Super Mario Maker,WiiU,103 avis,2015,2015-09-01,8.5,0.0,supermariomaker
814,Fallout: New Vegas,PS3,2010.0,Role-Playing,Bethesda Softworks,1.52,1.08,0.1,0.47,3.17,7.8,196.0,7.0,Fallout,2010-10-25,Namco Bandai Partners,Obsidian Entertainment,Fallout : New Vegas,falloutnewvegas,Fallout New Vegas,PS3,396 avis,2010,2010-10-01,8.5,8.15,falloutnewvegas
815,Fallout: New Vegas,PS3,2010.0,Role-Playing,Bethesda Softworks,1.52,1.08,0.1,0.47,3.17,7.8,196.0,7.0,Fallout,2010-10-25,Namco Bandai Partners,Obsidian Entertainment,Fallout: New Vegas,falloutnewvegas,Fallout New Vegas,PS3,396 avis,2010,2010-10-01,8.5,8.15,falloutnewvegas
816,LEGO Batman: The Videogame,Wii,,Action,Warner Bros. Interactive Entertainment,1.86,1.02,0.0,0.29,3.17,6.7,69.0,6,,,,"""Traveller's Tales""",,legobatmanthevideogame,,,,,,,,
817,Rhythm Heaven,DS,2008.0,Misc,Nintendo,0.58,0.51,1.93,0.14,3.17,7.4,10.0,7,Rhythm Tengoku ,,,Nintendo,,rhythmheaven,,,,,,,,
818,Ace Combat 04: Shattered Skies,PS2,2001.0,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,7.5,12.0,7,Ace Combat ,,,Namco,,acecombat04shatteredskies,,,,,,,,
819,Club Penguin: Elite Penguin Force,DS,2008.0,Adventure,Disney Interactive Studios,1.88,0.98,0.0,0.3,3.16,,,,Club Penguin ,,,1st Playable Productions,,clubpenguinelitepenguinforce,,,,,,,,
820,Animal Crossing,GC,2001.0,Simulation,Nintendo,1.92,0.16,0.99,0.09,3.15,,,,Animal Crossing ,,,Nintendo,Animal Crossing : New Horizons,animalcrossing,,,,,,,,
821,LEGO Batman: The Videogame,DS,2008.0,Action,Warner Bros. Interactive Entertainment,1.79,1.06,0.0,0.29,3.15,6.7,69.0,6,,,,"""Traveller's Tales""",,legobatmanthevideogame,,,,,,,,
822,Sonic Rush,DS,2005.0,Platform,Sega,1.22,1.57,0.06,0.29,3.15,6.6,28.0,7.0,Sonic,2005-11-18,Sega,Sonic Team,Sonic Rush Adventure,sonicrush,,,,,,,,
823,Sonic Rush,DS,2005.0,Platform,Sega,1.22,1.57,0.06,0.29,3.15,6.6,28.0,7.0,Sonic,2005-11-18,Sega,Sonic Team,Sonic Rush,sonicrush,,,,,,,,
826,Resident Evil 6,PS3,2012.0,Shooter,Capcom,0.88,0.97,0.88,0.42,3.15,5.8,178.0,5.0,Resident Evil,2013-03-23,,Capcom,Resident Evil 6,residentevil6,Resident Evil 6,PS3,768 avis,2012,2012-10-01,8.5,7.35,residentevil6
827,Halo: The Master Chief Collection,XOne,2014.0,Shooter,Microsoft Game Studios,1.89,0.99,0.03,0.24,3.15,7.5,55.0,6.0,Halo,2014-11-11,,Splash Damage,Halo : The Master Chief Collection,halothemasterchiefcollection,,,,,,,,
828,Halo: The Master Chief Collection,XOne,2014.0,Shooter,Microsoft Game Studios,1.89,0.99,0.03,0.24,3.15,7.5,55.0,6.0,Halo,2014-11-11,,Splash Damage,Halo: The Master Chief Collection,halothemasterchiefcollection,,,,,,,,
829,FIFA Soccer 08,PS2,2007.0,Sports,Electronic Arts,0.68,0.0,0.0,2.46,3.14,6.7,43.0,7,FIFA EA Sports ,,Electronic Arts,Electronic Arts,,fifasoccer08,,,,,,,,
830,Spider-Man,PS,2000.0,Action,Activision,1.7,1.25,0.02,0.16,3.13,,,,Spider-Man ,,,Insomniac Games,Marvel's Spider-Man,spiderman,,,,,,,,
831,Need for Speed III: Hot Pursuit,PS,1998.0,Racing,Electronic Arts,2.14,0.86,0.0,0.13,3.12,7.7,24.0,,,,,Electronic Arts,,needforspeediiihotpursuit,,,,,,,,
834,Star Wars Episode I Racer,N64,1999.0,Racing,Nintendo,2.31,0.62,0.14,0.04,3.12,,,,Star Wars ,,Nintendo,LucasArts Entertainment,Star Wars Episode I : Racer,starwarsepisodeiracer,Star Wars Episode I : Racer,N64,57 avis,1999,1999-05-01,9.0,8.6,starwarsepisodeiracer
835,Personal Trainer: Cooking,DS,2006.0,Misc,Nintendo,0.91,1.0,1.03,0.17,3.12,,,,,,,,,personaltrainercooking,,,,,,,,
838,The Elder Scrolls IV: Oblivion,PS3,2007.0,Role-Playing,Ubisoft,1.69,0.87,0.14,0.42,3.12,7.9,216.0,8.666666666666666,The Elder Scrolls,2006-03-28,Take Two Interactive,Bethesda Softworks,The Elder Scrolls IV : Oblivion,theelderscrollsivoblivion,The Elder Scrolls IV : Oblivion,PS3,343 avis,2006,2006-03-01,9.0,8.75,theelderscrollsivoblivion
841,The Elder Scrolls IV: Oblivion,PS3,2007.0,Role-Playing,Ubisoft,1.69,0.87,0.14,0.42,3.12,7.9,216.0,8.666666666666666,The Elder Scrolls,2006-03-28,Take Two Interactive,Bethesda Softworks,The Elder Scrolls IV: Oblivion,theelderscrollsivoblivion,The Elder Scrolls IV : Oblivion,PS3,343 avis,2006,2006-03-01,9.0,8.75,theelderscrollsivoblivion
842,Dragon Warrior IV,NES,1990.0,Role-Playing,Enix Corporation,0.08,0.0,3.03,0.01,3.12,7.4,116.0,7,Dragon Quest ,,Ubisoft,ArtePiazza,,dragonwarrioriv,,,,,,,,
845,Heavy Rain,PS3,2010.0,Adventure,Sony Computer Entertainment,1.29,1.27,0.06,0.5,3.12,7.3,298.0,6.0,Heavy Rain,2010-02-23,,Quantic Dream,Heavy Rain,heavyrain,Heavy Rain,PS3,1 650 avis,2010,2010-02-01,7.5,0.0,heavyrain
847,Mass Effect 2,X360,2010.0,Role-Playing,Electronic Arts,1.99,0.82,0.03,0.27,3.11,7.9,494.0,7.0,Mass Effect,2010-01-26,,BioWare Edmonton,Mass Effect 2,masseffect2,Mass Effect 2,X360,796 avis,2010,2010-01-01,9.0,9.0,masseffect2
848,FIFA 15,X360,2014.0,Sports,Electronic Arts,0.78,2.02,0.0,0.3,3.11,6.7,57.0,6.0,FIFA EA Sports,2014-09-25,,,FIFA 15,fifa15,FIFA 15,X360,59 avis,2014,2014-09-01,7.5,4.7,fifa15
850,Dragon Ball Z: Budokai,PS2,2002.0,Fighting,Atari,2.17,0.28,0.55,0.08,3.09,6.7,73.0,7,Dragon Ball ,,Atari,Dimps,,dragonballzbudokai,Dragon Ball Z : Budokai,PS2,184 avis,2002,2002-11-01,7.5,8.05,dragonballzbudokai
851,Madden NFL 2002,PS2,2001.0,Sports,Electronic Arts,2.5,0.16,0.01,0.42,3.08,0.0,0.0,8.0,Madden NFL,2001-10-26,,EA Sports,Madden NFL 2002,maddennfl2002,Madden NFL 2002,PS2,28 avis,2001,2001-10-01,8.0,8.95,maddennfl2002
852,World Class Track Meet,NES,1986.0,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07,3.08,8.0,2.0,,,,,Nintendo,,worldclasstrackmeet,,,,,,,,
854,Borderlands 2,X360,2012.0,Shooter,Take-Two Interactive,1.89,0.91,0.04,0.24,3.07,7.9,241.0,8.0,Borderlands,2012-09-18,,Gearbox Software,Borderlands 2,borderlands2,Borderlands 2,X360,465 avis,2012,2012-09-01,9.0,8.95,borderlands2
855,The Legend of Zelda: A Link Between Worlds,3DS,2013.0,Action,Nintendo,1.4,0.99,0.46,0.22,3.07,8.3,303.0,,The Legend of Zelda,2013-11-14,,Nintendo,The Legend of Zelda : A Link Between Worlds,thelegendofzeldaalinkbetweenworlds,,,,,,,,
856,The Legend of Zelda: A Link Between Worlds,3DS,2013.0,Action,Nintendo,1.4,0.99,0.46,0.22,3.07,8.3,303.0,,The Legend of Zelda,2013-11-14,,Nintendo,The Legend of Zelda: A Link Between Worlds,thelegendofzeldaalinkbetweenworlds,,,,,,,,
