,Name,Platform,Year,Genre,Publisher,Studio,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_licence,Mois,Date_Sortie,RM_Publisher,RM_Publisher_score,RM_Publisher_rate,RM_Publisher_reviews,RM_Studio,RM_Studio_score,RM_Studio_rate,RM_Studio_reviews,RM_Licence,RM_Licence_score,RM_Licence_rate,RM_Licence_reviews,is_serie,is_top_serie,is_top_studio,is_e3,is_launch_plateform_associated
3446,Harvest Moon: Sunshine Islands,DS,2008,Simulation,Rising Star Games,Marvelous Entertainment,0.35,0.03,0.17,0.03,0.58,Harvest Moon,1,2008-01-01,1.44,5.0,4.4,1.0,0.04,5.0,4.4,1.0,0.84,6.25,7.15,1.0,1,0,0,0,0
3447,Trivial Pursuit,Wii,2009,Misc,Electronic Arts,EA Bright Light,0.21,0.31,0.0,0.07,0.58,Trivial Pursuit,3,2009-03-01,0.43,7.0,8.1,1.0,1.45,6.3,7.0,1.0,0.19,5.1,6.0,1.0,0,0,1,0,0
3448,The Legend of Spyro: Dawn of the Dragon,Wii,2008,Platform,Vivendi Games,Etranges Libellules,0.35,0.18,0.0,0.05,0.58,Spyro,10,2008-10-01,0.09,3.9,6.4,7.0,0.03,4.95,7.05,7.0,0.37,4.87,4.35,12.0,0,0,0,0,0
3449,The Sims 3: World Adventures,PC,2009,Simulation,Electronic Arts,The Sims Studio,0.02,0.18,0.0,0.39,0.58,The Sims 3: World Adventures,11,2009-11-01,1.16,8.0,7.25,58.0,8.11,5.8,7.25,58.0,8.11,5.8,7.25,58.0,0,0,0,0,0
3450,Kinect Sports Rivals,XOne,2014,Sports,Microsoft Game Studios,Microsoft Game Studios,0.3,0.22,0.02,0.04,0.58,Kinect Sports,4,2014-04-01,1.54,6.77,6.98,231.5,0.17,6.77,7.65,13.0,6.24,6.15,6.9,13.0,0,0,0,1,1
3451,Rayman Origins,Wii,2011,Platform,Ubisoft,UBlart Montpellier,0.23,0.29,0.0,0.07,0.58,Rayman,11,2011-11-01,0.65,6.5,6.25,7.0,1.03,8.73,8.55,517.0,1.03,8.73,8.55,517.0,1,0,0,1,1
3452,WWE 2K16,XOne,2015,Sports,Take-Two Interactive,Yuke's,0.31,0.22,0.0,0.05,0.58,WWE,10,2015-10-01,0.09,8.5,6.62,19.5,0.56,6.3,5.5,21.0,0.56,6.3,5.5,21.0,1,1,1,1,0
3453,Titanfall,PC,2014,Shooter,Electronic Arts,Respawn Entertainment,0.21,0.3,0.0,0.07,0.58,Titanfall,3,2014-03-01,2.9,7.7,7.22,254.5,2.9,7.7,7.22,254.5,2.9,7.7,7.22,254.5,0,0,0,1,1
3454,NCAA Football 09,PS3,2008,Sports,Electronic Arts,EA Tiburon,0.54,0.0,0.0,0.04,0.58,NCAA,7,2008-07-01,0.08,8.2,4.7,1.0,0.53,8.2,6.1,1.0,0.08,8.2,7.1,1.0,1,0,1,0,0
3455,Tom Clancy's HAWX,X360,2009,Action,Ubisoft,Ubisoft Romania,0.31,0.19,0.02,0.06,0.58,Tom Clancy,3,2009-03-01,0.04,6.33,6.67,9.5,0.15,6.33,6.67,9.5,0.12,6.66,6.17,12.5,1,0,1,0,0
3456,Sammy Sosa High Heat Baseball 2001,PS,2000,Sports,3DO,High Heat Baseball,0.32,0.22,0.0,0.04,0.58,High Heat Baseball,1,2000-01-01,0.39,5.0,6.67,4.0,0.39,5.0,6.67,4.0,0.39,5.0,6.67,4.0,0,0,0,0,0
3457,Frozen: Olaf's Quest,3DS,2013,Platform,Disney Interactive Studios,1st Playable Productions,0.27,0.26,0.0,0.05,0.58,Frozen: Olaf's Quest,1,2013-01-01,0.02,5.0,4.7,3.0,0.06,5.0,4.7,3.0,0.06,5.0,4.7,3.0,0,0,0,0,0
3458,Terminator 3: Rise of the Machines,PS2,2003,Action,Atari,Black Ops Entertainment,0.28,0.22,0.0,0.07,0.58,Terminator,11,2003-11-01,1.08,2.5,4.0,1.0,0.91,5.73,7.7,5.0,0.41,4.4,5.9,1.0,0,0,0,0,0
3459,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",X360,2010,Shooter,Activision,High Moon Studios,0.37,0.15,0.0,0.05,0.58,TransFormers,1,2010-01-01,0.1,4.0,6.7,6.0,0.44,6.55,6.75,30.0,0.33,6.55,6.75,30.0,0,0,0,0,0
3460,Harvest Moon: The Tale of Two Towns,DS,2010,Simulation,Natsume,Marvelous Entertainment,0.27,0.06,0.22,0.03,0.58,Harvest Moon,9,2010-09-01,0.04,6.13,7.45,17.0,0.31,6.13,7.45,17.0,0.15,7.4,7.3,1.0,1,0,0,0,0
3461,FIFA: Road to  World Cup 98,N64,1997,Sports,Electronic Arts,EA Sports,0.15,0.39,0.0,0.03,0.58,FIFA EA Sports,1,1997-01-01,0.69,6.5,6.5,13.0,0.92,6.5,6.5,13.0,0.05,5.9,5.9,12.0,1,1,1,0,0
3462,World Cup 98,N64,1998,Sports,Electronic Arts,EA Sports,0.14,0.4,0.0,0.04,0.58,FIFA EA Sports,1,1998-01-01,0.6,5.4,5.4,5.0,0.87,7.5,7.5,2.0,0.58,6.9,6.9,37.0,0,0,1,0,0
3463,International Superstar Soccer '98,N64,1998,Sports,Konami Digital Entertainment,Konami Computer Entertainment Osaka,0.06,0.3,0.19,0.03,0.58,International Superstar Soccer,9,1998-09-01,0.76,9.2,8.3,22.0,0.36,7.35,8.08,14.5,0.42,7.35,7.5,2.0,1,0,1,0,1
3464,NASCAR: Dirt to Daytona,PS2,2002,Racing,Unknown,Monster Games Inc.,0.28,0.22,0.0,0.07,0.58,NASCAR: Dirt to Daytona,11,2002-11-01,0.91,5.9,7.2,,0.6,7.05,8.4,,0.6,7.05,8.4,,0,0,0,0,0
3465,Unreal Tournament,PS2,2000,Shooter,Infogrames,Epic Games,0.28,0.22,0.0,0.07,0.58,Unreal,3,2000-03-01,0.1,,,,0.32,,,,0.32,,,,1,0,0,0,1
3466,Digimon World 2,PS,2000,Role-Playing,Namco Bandai Games,Bandai,0.23,0.16,0.16,0.04,0.58,Digimon,5,2000-05-01,0.09,6.0,6.0,1.0,0.06,6.0,6.0,1.0,0.28,6.0,6.0,1.0,1,0,0,0,0
3467,Tales of Phantasia,PS,1998,Role-Playing,Namco Bandai Games,Namco,0.0,0.0,0.54,0.04,0.58,Tales of,1,1998-01-01,1.5,6.0,7.0,1.0,0.89,8.3,8.05,14.0,0.4,7.0,8.32,37.0,1,0,1,0,0
3468,Prince of Persia: The Two Thrones,XB,2005,Action,Ubisoft,Ubisoft,0.33,0.22,0.0,0.03,0.58,Prince of Persia,12,2005-12-01,0.04,6.5,7.08,15.0,0.15,5.9,7.08,15.0,0.2,8.15,7.6,109.0,1,0,1,0,1
3469,Xenosaga Episode II: Jenseits von Gut und B��se,PS2,2004,Role-Playing,Sony Computer Entertainment,Monolith Software,0.28,0.22,0.0,0.07,0.58,Xenosaga,1,2004-01-01,1.33,7.0,7.6,28.0,1.33,7.0,7.6,28.0,1.46,8.4,9.05,75.0,1,0,0,0,0
3470,Gex: Enter the Gecko,PS,1998,Platform,BMG Interactive Entertainment,Crystal Dynamics,0.32,0.22,0.0,0.04,0.58,Gex,1,1998-01-01,0.11,8.53,4.0,2.0,1.03,8.53,8.05,373.0,1.03,8.53,8.05,373.0,1,0,0,0,0
3471,Shrek 2: Beg for Mercy,GBA,2004,Adventure,Activision,Shrek 2: Beg for Mercy,0.42,0.15,0.0,0.01,0.58,Shrek 2: Beg for Mercy,1,2004-01-01,0.2,7.43,8.03,8.0,0.2,7.43,8.03,8.0,0.2,7.43,8.03,8.0,0,0,0,0,1
3472,Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007,Action,Capcom,Capcom,0.25,0.0,0.31,0.02,0.58,Mega Man Star Force 2: Zerker x Ninja / Saurian,1,2007-01-01,0.33,7.25,7.7,9.0,0.33,7.25,7.7,9.0,0.33,7.25,7.7,9.0,1,0,1,0,0
3473,JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,Namco Bandai Games,CyberConnect2,0.05,0.02,0.5,0.01,0.58,"""Jojo's Bizarre Adventure """,4,2013-04-01,0.96,7.57,7.63,432.5,0.96,7.57,7.63,432.5,0.05,7.57,7.63,432.5,0,0,0,0,0
3474,Petz Nursery,DS,2009,Simulation,Ubisoft,Digital Kids,0.53,0.0,0.0,0.04,0.58,Petz,11,2009-11-01,1.14,7.8,8.2,,0.56,7.8,8.2,,0.08,7.8,8.2,,1,0,0,0,0
3475,Contra: Shattered Soldier,PS2,2002,Shooter,Konami Digital Entertainment,KCET,0.28,0.22,0.0,0.07,0.58,Contra,10,2002-10-01,0.02,7.1,8.4,32.0,2.99,9.3,8.4,32.0,0.07,7.0,7.5,32.0,1,0,0,0,0
3476,Championship Motocross featuring Ricky Carmichael,PS,1998,Racing,THQ,Funcom,0.32,0.22,0.0,0.04,0.58,Championship Motocross,1,1998-01-01,1.46,4.0,4.0,1.0,0.03,4.0,4.0,1.0,0.03,4.0,4.0,1.0,0,0,0,0,0
3477,Dragon Ball Z: Chou Saiya Densetsu,SNES,1992,Role-Playing,Namco Bandai Games,Dragon Ball,0.0,0.0,0.58,0.0,0.58,Dragon Ball,1,1992-01-01,0.33,,,,0.33,,,,0.33,,,,0,0,0,0,0
3478,NBA 2K7,X360,2006,Sports,Take-Two Interactive,Kush Games,0.53,0.0,0.0,0.04,0.58,NBA 2K,10,2006-10-01,0.94,8.35,8.3,137.0,0.01,7.4,6.2,5.0,0.03,8.15,7.65,8.0,1,0,0,1,1
3479,WWE 2K16,PS3,2015,Sports,Take-Two Interactive,Yuke's,0.21,0.27,0.0,0.09,0.58,WWE,10,2015-10-01,1.2,7.4,6.98,15.5,1.2,7.4,6.98,15.5,1.2,7.4,6.98,15.5,1,1,1,1,0
3480,Phoenix Wright: Ace Attorney - Justice for All,DS,2006,Adventure,Capcom,Capcom,0.24,0.05,0.26,0.03,0.58,Ace Attorney (Phoenix Wright),3,2006-03-01,0.02,3.6,5.95,3.0,0.27,6.55,8.45,190.0,0.14,6.55,8.45,190.0,0,0,1,0,0
3481,Fire Emblem: Seisen no Keifu,SNES,1996,Strategy,Nintendo,Intelligent Systems,0.0,0.0,0.58,0.0,0.58,Fire Emblem,1,1996-01-01,1.74,9.5,7.5,2.0,1.42,9.5,9.22,169.0,0.7,7.0,7.5,4.0,1,0,1,0,0
3482,Rock Band 3,PS3,2010,Misc,MTV Games,Harmonix Music Systems,0.43,0.09,0.0,0.06,0.58,Rock Band,10,2010-10-01,0.88,8.93,8.27,45.0,0.38,7.03,7.77,11.0,0.88,8.93,8.27,45.0,1,0,0,1,0
3483,Disgaea 4: A Promise Unforgotten,PS3,2011,Role-Playing,Nippon Ichi Software,Nippon Ichi Software,0.27,0.11,0.14,0.06,0.58,Disgaea,10,2011-10-01,0.01,5.3,6.75,5.0,0.08,6.4,7.1,5.0,0.25,7.65,7.85,39.0,1,0,0,0,0
3484,BlazBlue: Calamity Trigger,PS3,2009,Fighting,PQube,Arc System Works,0.36,0.1,0.06,0.06,0.58,Blazblue,4,2009-04-01,0.06,7.5,8.35,17.5,0.06,7.5,8.35,17.5,0.05,5.05,7.3,84.0,1,0,0,0,0
3485,Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,Activision,Acquire,0.32,0.22,0.0,0.04,0.58,Tenchu,8,2000-08-01,0.26,7.6,7.6,31.0,1.99,8.7,8.35,31.0,1.99,8.7,8.35,31.0,1,0,0,0,0
3486,Tony Hawk's Pro Skater 4,GC,2002,Sports,Activision,Neversoft Entertainment,0.45,0.12,0.0,0.02,0.58,Tony Hawk,10,2002-10-01,0.06,8.0,8.2,44.0,0.55,8.55,7.45,44.0,0.55,8.55,7.45,44.0,1,0,1,1,1
3487,MLB 11: The Show,PS3,2011,Sports,Sony Computer Entertainment,SCEA San Diego Studios,0.54,0.0,0.0,0.04,0.58,MLB : The Show,3,2011-03-01,0.6,7.3,7.75,47.0,0.08,6.9,3.0,47.0,0.41,6.9,9.5,2.0,0,0,0,0,0
3488,Naruto: Uzumaki Chronicles 2,PS2,2006,Action,Namco Bandai Games,Cavia Inc.,0.28,0.22,0.0,0.07,0.58,Naruto,9,2006-09-01,0.04,4.55,7.5,21.5,0.1,4.5,6.08,21.5,0.16,5.7,6.6,3.0,0,0,0,0,0
3489,NHL 06,PS2,2005,Sports,Electronic Arts,EA Canada,0.48,0.02,0.0,0.08,0.58,NHL EA Sports,9,2005-09-01,0.64,6.85,5.9,5.0,0.77,4.15,6.6,5.0,0.16,7.18,6.6,2.0,1,0,1,0,0
3490,NHL 10,PS3,2009,Sports,Electronic Arts,EA Canada,0.38,0.12,0.0,0.07,0.58,NHL EA Sports,9,2009-09-01,0.66,7.93,7.75,23.0,1.41,8.4,7.83,73.5,0.02,7.07,5.15,10.0,1,0,1,0,0
3491,Rooms: The Main Building,DS,2010,Adventure,Nintendo,HandMade Game,0.1,0.41,0.01,0.06,0.58,Rooms: The Main Building,6,2010-06-01,0.27,8.7,6.3,,0.27,8.7,6.3,,0.27,8.7,6.3,,0,0,0,0,0
3492,Rapala: We Fish,Wii,2009,Sports,Activision,Activision,0.52,0.02,0.0,0.04,0.58,Rapala,9,2009-09-01,0.91,6.43,6.78,22.0,0.14,6.43,6.78,22.0,0.17,3.1,5.7,2.0,0,0,0,0,0
3493,Parasite Eve II,PS,1999,Role-Playing,SquareSoft,SquareSoft,0.32,0.22,0.0,0.04,0.58,Parasite Eve,9,1999-09-01,1.86,9.4,8.65,96.0,7.86,8.5,8.4,350.0,2.1,8.1,8.5,46.0,0,0,0,0,0
3494,Tetris Party Deluxe,Wii,2010,Puzzle,Nintendo,"Tetris Online, Inc",0.34,0.17,0.02,0.05,0.58,Tetris,9,2010-09-01,0.98,8.73,8.73,571.5,0.78,6.2,7.1,4.5,0.11,5.2,6.5,2.0,1,1,0,0,1
3495,NFL Blitz 2000,N64,1999,Sports,Midway Games,Midway,0.55,0.02,0.0,0.0,0.58,NFL Blitz,7,1999-07-01,0.11,,,,0.11,,,,1.09,,,,1,0,0,0,1
3496,Ratchet & Clank: Quest for Booty,PS3,2008,Platform,Sony Computer Entertainment,Insomniac Games,0.0,0.53,0.0,0.04,0.58,Ratchet &amp; Clank,1,2008-01-01,0.32,7.9,8.2,68.5,4.35,7.8,7.45,92.0,3.33,8.43,8.45,191.0,0,0,0,0,0
3497,Madden NFL 2002,XB,2001,Sports,Unknown,EA Sports,0.53,0.02,0.0,0.03,0.58,Madden NFL,10,2001-10-01,0.27,8.57,8.3,15.0,1.2,8.57,8.3,15.0,0.43,7.9,8.2,0.0,1,1,1,0,1
3498,NCAA Football 10,PS2,2009,Sports,Electronic Arts,EA Tiburon,0.28,0.22,0.0,0.07,0.58,NCAA,7,2009-07-01,0.79,7.53,7.68,7.5,0.79,7.53,7.68,7.5,0.94,8.3,7.35,1.0,1,0,1,0,0
3499,Top Spin 3,PS3,2008,Action,Take-Two Interactive,Pam Development,0.08,0.37,0.0,0.12,0.57,Top Spin,6,2008-06-01,0.12,5.9,7.0,42.0,0.17,7.17,7.12,42.0,0.05,6.37,6.88,22.5,0,0,0,0,0
3500,Shin Megami Tensei IV,3DS,2013,Role-Playing,Atlus,Atlus,0.28,0.0,0.27,0.02,0.57,Megami Tensei,7,2013-07-01,0.74,7.87,7.23,26.5,1.38,8.75,9.05,188.5,0.22,7.4,5.6,16.0,0,0,0,1,0
3501,Theme Park,PS,1994,Simulation,Electronic Arts,Bullfrog Productions,0.24,0.16,0.13,0.04,0.57,Theme Park,1,1994-01-01,0.06,5.25,6.17,38.5,0.06,5.25,6.17,38.5,0.06,5.25,6.17,38.5,0,0,0,0,0
3502,Blacksite: Area 51,X360,2007,Shooter,Midway Games,Midway Studios - Austin,0.29,0.23,0.0,0.06,0.57,Area 51,11,2007-11-01,2.52,2.75,3.9,0.0,0.29,6.6,6.35,1.0,0.29,6.6,6.35,1.0,0,0,0,1,0
3503,Spider-Man 3,X360,2007,Platform,Activision,Treyarch,0.49,0.04,0.0,0.04,0.57,Spider-Man,5,2007-05-01,0.9,5.17,5.78,72.5,1.07,7.1,6.5,48.0,0.9,5.17,5.78,72.5,0,0,1,1,0
3504,ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,SouthPeak Games,Climax Group,0.53,0.0,0.0,0.04,0.57,ATV Offroad Fury,4,2005-04-01,0.11,5.25,6.2,1.0,0.09,5.25,6.2,1.0,0.4,6.75,7.15,3.0,1,0,0,0,0
3505,Far Cry Instincts,XB,2005,Shooter,Ubisoft,Ubisoft Montreal,0.32,0.24,0.0,0.02,0.57,Far Cry,9,2005-09-01,0.15,5.9,7.08,15.0,0.1,8.05,7.9,121.0,0.43,7.15,7.8,17.0,1,1,1,0,0
3506,Hasbro Family Game Night,PS2,2008,Puzzle,Electronic Arts,EA Bright Light,0.28,0.22,0.0,0.07,0.57,Best of des Jeux en Famille,11,2008-11-01,0.67,4.97,5.95,61.5,0.6,5.6,6.05,3.0,1.45,6.3,7.0,3.0,0,0,1,0,0
3507,Tony Hawk's Pro Skater 4,GBA,2002,Sports,Activision,Vicarious Visions,0.41,0.15,0.0,0.01,0.57,Tony Hawk,11,2002-11-01,3.67,8.63,7.8,41.5,1.19,7.1,5.9,1.0,0.58,9.1,8.1,1.0,1,0,1,1,1
3508,Up,Wii,2009,Action,THQ,Heavy Iron Studios,0.23,0.28,0.0,0.06,0.57,Up,5,2009-05-01,1.77,7.5,7.65,70.5,0.39,7.5,7.65,70.5,0.39,7.5,7.65,70.5,0,0,0,0,0
3509,Tales of the Abyss,PS2,2005,Role-Playing,Namco Bandai Games,Namco,0.0,0.0,0.57,0.0,0.57,Tales of,11,2005-11-01,0.08,5.6,7.9,6.0,0.08,6.0,8.45,6.0,0.49,6.4,7.6,11.0,1,0,1,1,0
3510,Disney Universe,X360,2011,Action,Disney Interactive Studios,Eurocom Entertainment Software,0.37,0.15,0.0,0.05,0.57,Disney Universe,10,2011-10-01,1.07,4.87,6.03,12.0,1.07,4.87,6.03,12.0,1.07,4.87,6.03,12.0,0,0,0,0,0
3511,Iron Man,X360,2008,Action,Sega,Secret Level,0.27,0.24,0.0,0.06,0.57,Marvel,5,2008-05-01,0.63,4.3,4.6,12.0,0.02,3.6,5.95,3.0,0.63,4.3,4.6,12.0,0,0,0,0,0
3512,Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,PS,2000,Strategy,Namco Bandai Games,Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,0.0,0.0,0.54,0.04,0.57,Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,1,2000-01-01,0.04,4.1,5.6,,0.04,4.1,5.6,,0.04,4.1,5.6,,0,0,0,0,0
3513,Spyro Orange: The Cortex Conspiracy,GBA,2004,Action,Vivendi Games,Vicarious Visions,0.41,0.15,0.0,0.01,0.57,Spyro Orange: The Cortex Conspiracy,6,2004-06-01,0.12,4.57,6.65,9.0,0.26,6.6,7.6,9.0,0.26,6.6,7.6,9.0,0,0,1,0,0
3514,Enslaved: Odyssey to the West,PS3,2010,Action,Namco Bandai Games,Ninja Theory,0.24,0.24,0.01,0.09,0.57,Enslaved: Odyssey to the West,10,2010-10-01,1.22,7.7,7.85,756.0,1.66,6.45,7.05,85.0,1.66,6.45,7.05,85.0,0,0,0,1,0
3515,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,DS,2008,Action,THQ,Natsume,0.53,0.0,0.0,0.04,0.57,"""Bob l'Eponge """,10,2008-10-01,1.69,7.46,7.4,241.0,0.03,7.46,7.4,241.0,0.62,2.0,4.9,241.0,0,0,0,0,0
3516,Beyond The Beyond,PS,1995,Role-Playing,Sony Computer Entertainment,Camelot,0.11,0.08,0.35,0.04,0.57,Beyond The Beyond,1,1995-01-01,0.85,8.8,8.8,23.0,0.19,8.8,8.8,23.0,0.19,8.8,8.8,23.0,0,0,0,0,0
3517,Ben 10: Alien Force,PS2,2008,Action,Koch Media,Monkey Bar Games,0.22,0.02,0.0,0.33,0.57,Ben 10,10,2008-10-01,0.81,4.17,7.72,6.5,0.81,4.17,7.72,6.5,0.81,4.17,7.72,6.5,0,0,0,0,0
3518,Tomb Raider: Anniversary,PSP,2007,Action,Eidos Interactive,Crystal Dynamics,0.21,0.23,0.0,0.13,0.57,Tomb Raider,6,2007-06-01,0.12,4.75,6.0,1.0,0.13,7.6,7.0,132.0,0.02,7.73,7.58,163.5,1,1,0,1,1
3519,"Warhammer 40,000: Space Marine",X360,2011,Shooter,THQ,Relic,0.25,0.27,0.0,0.06,0.57,Warhammer 40.000,9,2011-09-01,0.1,3.75,4.4,7.5,0.1,8.2,8.05,44.0,0.33,6.07,7.42,23.0,0,0,0,1,0
3520,Madden NFL 06,GC,2005,Sports,Electronic Arts,EA Sports,0.44,0.11,0.0,0.02,0.57,Madden NFL,8,2005-08-01,1.86,7.51,6.55,7.0,1.86,7.51,6.55,7.0,0.26,7.77,7.85,3.0,1,1,1,1,1
3521,No More Heroes,Wii,2007,Action,Rising Star Games,Grasshopper Manufacture,0.3,0.17,0.04,0.05,0.57,No More Heroes,3,2007-03-01,0.06,5.5,4.0,1.0,0.05,6.6,7.1,1.0,0.05,6.6,7.1,1.0,1,0,0,0,0
3522,Assassin's Creed II,PC,2010,Action,Ubisoft,Ubisoft Montreal,0.01,0.45,0.0,0.11,0.57,Assassin's Creed,11,2010-11-01,0.7,3.0,2.75,2.0,2.84,8.67,8.25,1122.0,3.5,8.63,8.0,888.0,1,1,1,1,0
3523,Petz Wild Animals: Tigerz,DS,2008,Simulation,Ubisoft,Magic Pockets,0.52,0.01,0.0,0.04,0.57,Petz Wild Animals: Tigerz,2,2008-02-01,0.01,,,,0.01,,,,0.01,,,,1,0,0,0,0
3524,Naruto: Ultimate Ninja 2,PS2,2004,Fighting,Namco Bandai Games,CyberConnect2,0.47,0.02,0.0,0.08,0.57,Naruto,6,2004-06-01,0.05,6.7,4.8,13.0,0.18,6.7,6.2,9.0,1.04,6.7,7.55,5.0,0,0,0,0,0
3525,Defiance,X360,2013,Shooter,Trion Worlds,Trion Worlds,0.38,0.15,0.0,0.04,0.57,Defiance,4,2013-04-01,0.01,7.7,7.6,22.0,0.67,7.7,7.6,22.0,0.67,7.7,7.6,22.0,0,0,0,0,0
3526,Dogz,DS,2006,Simulation,Ubisoft,MTO,0.51,0.02,0.0,0.04,0.57,Petz,4,2006-04-01,0.04,8.6,8.35,2.0,0.63,5.4,7.65,6.0,0.63,5.4,7.65,6.0,0,0,0,0,0
3527,3D Dot Game Heroes,PS3,2009,Role-Playing,SouthPeak Games,Silicon Studio,0.36,0.12,0.03,0.07,0.57,3D Dot Game Heroes,5,2009-05-01,0.06,6.9,7.35,15.0,0.06,6.9,7.35,15.0,0.06,6.9,7.35,15.0,0,0,0,0,0
3528,The Mysterious Murasame Castle,NES,1986,Action,Nintendo,The Mysterious Murasame Castle,0.0,0.0,0.57,0.0,0.57,The Mysterious Murasame Castle,1,1986-01-01,1.96,6.8,6.8,13.0,1.96,6.8,6.8,13.0,1.96,6.8,6.8,13.0,0,0,0,0,0
3529,NBA Hangtime,N64,1997,Sports,GT Interactive,Funcom,0.48,0.08,0.0,0.0,0.57,NBA Hangtime,1,1997-01-01,0.68,5.0,5.0,4.0,0.06,5.0,5.0,4.0,0.06,5.0,5.0,4.0,0,0,0,0,1
3530,Jillian Michaels Fitness Ultimatum 2010,Wii,2009,Sports,Majesco Entertainment,Collision Studios,0.52,0.01,0.0,0.04,0.57,Jillian Michaels Fitness,10,2009-10-01,0.16,5.27,4.65,1.5,0.06,5.27,4.65,1.5,1.27,3.0,2.0,1.5,0,0,0,0,0
3531,Pro Evolution Soccer 2012,PSP,2011,Action,Konami Digital Entertainment,Konami,0.1,0.12,0.29,0.07,0.57,eFootball (Pro Evolution Soccer),9,2011-09-01,0.15,8.0,7.7,103.0,0.21,8.0,8.3,103.0,0.03,6.0,5.8,24.0,0,1,1,0,0
3532,Grease,Wii,2010,Misc,505 Games,ZoǮ Mode,0.27,0.25,0.0,0.05,0.57,Grease,1,2010-01-01,0.08,7.0,7.9,14.0,0.08,7.0,7.9,14.0,0.08,7.0,7.9,14.0,0,0,0,0,0
3533,Blood Wake,XB,2001,Shooter,Microsoft Game Studios,Stormfront Studios,0.43,0.12,0.0,0.02,0.57,Blood Wake,12,2001-12-01,0.24,5.6,6.2,2.0,0.31,6.5,7.5,3.0,0.31,6.5,7.5,3.0,0,0,0,0,1
3534,Dynasty Warriors 5: Xtreme Legends,PS2,2005,Action,Tecmo Koei,Omega Force,0.11,0.08,0.35,0.03,0.57,Dynasty Warriors,11,2005-11-01,0.07,5.6,7.55,1.0,1.39,6.97,8.2,47.0,0.11,4.3,6.25,1.0,1,0,0,1,1
3535,Skylanders: Spyro's Adventure,3DS,2011,Action,Activision,Vicarious Visions,0.32,0.2,0.0,0.05,0.57,Skylanders: Spyro's Adventure,10,2011-10-01,0.97,7.65,6.58,42.0,0.13,6.2,7.3,42.0,0.13,6.2,7.3,42.0,1,0,1,1,0
3536,Dora The Explorer: Dora Saves the Snow Princess,Wii,2008,Platform,Take-Two Interactive,High Voltage Software,0.5,0.03,0.0,0.04,0.57,"""Dora l'exploratrice """,1,2008-01-01,0.17,6.0,5.0,1.0,0.84,5.5,7.65,8.5,0.12,5.5,7.5,8.5,0,0,0,0,0
3537,Jampack Summer 2002,PS2,2002,Misc,Sony Computer Entertainment,Jampack Summer 2002,0.28,0.22,0.0,0.07,0.57,Jampack Summer 2002,5,2002-05-01,0.32,5.2,7.1,,0.32,5.2,7.1,,0.32,5.2,7.1,,0,0,0,0,0
3538,FIFA World Cup Germany 2006,PS2,2006,Sports,Electronic Arts,EA Canada,0.47,0.02,0.0,0.08,0.57,FIFA EA Sports,4,2006-04-01,0.04,5.77,6.65,27.5,0.37,6.3,7.58,61.0,0.15,6.27,7.18,42.0,1,1,1,0,0
3539,Wreckless: ThE YaKuza MisSiOns,XB,2002,Racing,Activision,Bunkasha Publishing,0.42,0.11,0.02,0.02,0.57,Wreckless,2,2002-02-01,0.11,5.0,5.0,0.0,0.11,5.0,5.0,0.0,0.11,5.0,5.0,0.0,0,0,0,0,0
3540,Super Bomberman,SNES,1992,Puzzle,Hudson Soft,Hexa Drive,0.0,0.0,0.57,0.0,0.57,Bomberman,1,1992-01-01,0.96,4.0,8.0,1.0,1.03,4.0,8.0,9.0,1.03,4.0,8.0,9.0,0,0,0,0,0
3541,SpongeBob SquarePants: Battle for Bikini Bottom,XB,2003,Platform,THQ,Heavy Iron Studios,0.45,0.1,0.0,0.02,0.57,"""Bob l'Eponge """,10,2003-10-01,1.15,5.9,7.45,4.0,1.67,7.1,5.9,1.0,1.23,7.1,5.2,1.0,0,0,0,0,0
3542,Spec Ops: The Line,PS3,2012,Shooter,Take-Two Interactive,Yager,0.19,0.25,0.04,0.09,0.57,Spec Ops,6,2012-06-01,1.66,8.53,7.95,450.5,0.05,6.5,6.5,1.0,0.43,2.0,5.75,1.0,1,0,0,1,0
3543,SD Gundam G Generation Neo,PS2,2002,Strategy,Namco Bandai Games,Bandai,0.0,0.0,0.57,0.0,0.57,Mobile Suit Gundam,1,2002-01-01,0.76,6.0,7.5,2.0,0.04,6.0,7.5,2.0,0.04,6.0,7.5,2.0,0,0,0,0,0
3544,Bratz 4 Real,DS,2007,Adventure,THQ,THQ,0.29,0.22,0.0,0.06,0.57,Bratz,11,2007-11-01,0.99,6.63,5.83,23.0,0.09,5.3,5.83,23.0,0.01,3.0,8.75,2.0,0,0,0,0,0
